material_id,material_name,material_category,step6_status,converted_assets,next_step
M026,确认类对话框 Modal,反馈,converted_in_step6,OV_MODAL_CONFIRM,none
M027,结果 Result,反馈,converted_in_step6,ST_RESULT_SUCCESS | ST_RESULT_ERROR,none
M028,通知提醒框 Notification,反馈,converted_in_step6,FB_NOTIFICATION_BASIC,none
M029,上传下载,复杂场景,handled_or_pending_module,,step5_or_step7
M030,上传文件,复杂场景,handled_or_pending_module,,step5_or_step7
M031,全屏,复杂场景,handled_or_pending_module,,step5_or_step7
M032,1、功能区域,复杂场景/公式编辑器,not_in_step6_scope,,previous_or_later_step
M033,2、公式编辑区域+说明引导,复杂场景/公式编辑器,not_in_step6_scope,,previous_or_later_step
M034,3、智能小助手+模板,复杂场景/公式编辑器,not_in_step6_scope,,previous_or_later_step
M035,公式编辑器设计模式,复杂场景/公式编辑器,not_in_step6_scope,,previous_or_later_step
M036,图片裁剪,复杂场景,handled_or_pending_module,,step5_or_step7
M037,审批流与审批模式 (1),复杂场景,handled_or_pending_module,,step5_or_step7
M038,审批流与审批模式,复杂场景,handled_or_pending_module,,step5_or_step7
M039,异步处理,复杂场景,handled_or_pending_module,,step5_or_step7
M040,拖拽排序,复杂场景,handled_or_pending_module,,step5_or_step7
M041,筛选项配置,复杂场景,handled_or_pending_module,,step5_or_step7
M042,表头设置,复杂场景,handled_or_pending_module,,step5_or_step7
M043,审批流,复杂场景,handled_or_pending_module,,step5_or_step7
M044,web端-多页签,导航,not_in_step6_scope,,previous_or_later_step
M045,下拉菜单 Dropdown,导航,not_in_step6_scope,,previous_or_later_step
M046,侧边导航,导航,not_in_step6_scope,,previous_or_later_step
M047,分页 Pagination,导航,not_in_step6_scope,,previous_or_later_step
M048,标签页 Tabs,导航,not_in_step6_scope,,previous_or_later_step
M049,步骤条 Steps,导航,not_in_step6_scope,,previous_or_later_step
M050,胶囊选项卡 CapsuleTabs ,导航,not_in_step6_scope,,previous_or_later_step
M051,返回按钮 ReturnButton ,导航,not_in_step6_scope,,previous_or_later_step
M052,锚点 Anchor,导航,not_in_step6_scope,,previous_or_later_step
M053,顶部导航 AppNav,导航,not_in_step6_scope,,previous_or_later_step
M054,Body 内容区按钮位置,按钮规则,pending,,step7_component_combos_and_rules
M055,Button 按钮,按钮规则,pending,,step7_component_combos_and_rules
M056,Footer 页面底部区按钮位置,按钮规则,pending,,step7_component_combos_and_rules
M057,Header页面头部区域按钮位置,按钮规则,pending,,step7_component_combos_and_rules
M058,Toolbar 操作工具区按钮位置,按钮规则,pending,,step7_component_combos_and_rules
M059,勾选和开关按钮的使用规则,按钮规则,pending,,step7_component_combos_and_rules
M060,按钮使用原则,按钮规则,pending,,step7_component_combos_and_rules
M061,禁用态探索,按钮规则,pending,,step7_component_combos_and_rules
M062,禁用按钮使用规则,按钮规则,pending,,step7_component_combos_and_rules
M063,链接按钮使用规则,按钮规则,pending,,step7_component_combos_and_rules
M064,Input 输入框,数据录入,pending,,step7_component_combos_and_rules
M065,InputNumber 数字输入框,数据录入,pending,,step7_component_combos_and_rules
M066,Radio 单选框,数据录入,pending,,step7_component_combos_and_rules
M067,Select 选择器,数据录入,pending,,step7_component_combos_and_rules
M068,Sidebar Contents 分栏目录,数据录入,pending,,step7_component_combos_and_rules
M069,上传 Upload,数据录入,pending,,step7_component_combos_and_rules
M070,多选 Checkbox (1),数据录入,pending,,step7_component_combos_and_rules
M071,开关 Switch,数据录入,pending,,step7_component_combos_and_rules
M072,日期时间选择器 DatePicker,数据录入,pending,,step7_component_combos_and_rules
M073,日期时间选择器 TimePicker,数据录入,pending,,step7_component_combos_and_rules
M074,树选择 TreeSelect,数据录入,pending,,step7_component_combos_and_rules
M075,级联选择 Cascader (1),数据录入,pending,,step7_component_combos_and_rules
M076,表单 Form,数据录入,pending,,step7_component_combos_and_rules
M077,Badge 徽标,数据展示,handled_or_pending_module,,step5_or_step7
M078,Empty 空状态,数据展示,converted_in_step6,ST_EMPTY_BASIC,none
M079,FilePreview 文件预览,数据展示,handled_or_pending_module,,step5_or_step7
M080,Image 图片,数据展示,handled_or_pending_module,,step5_or_step7
M081,Segmented 分段控制器,数据展示,handled_or_pending_module,,step5_or_step7
M082,Tag 标签,数据展示,handled_or_pending_module,,step5_or_step7
M083,Tour 漫游式引导,数据展示,handled_or_pending_module,,step5_or_step7
M084,Tree 树形控件,数据展示,handled_or_pending_module,,step5_or_step7
M085,折叠面板 Collapse,数据展示,handled_or_pending_module,,step5_or_step7
M086,描述列表 Descriptions,数据展示,handled_or_pending_module,,step5_or_step7
M087,文字提示 Tooltip,数据展示,handled_or_pending_module,,step5_or_step7
M088,气泡卡片  Popover,数据展示,handled_or_pending_module,,step5_or_step7
M089,表格 Table,数据展示,handled_or_pending_module,,step5_or_step7
M090,表格-表头筛选,数据展示,handled_or_pending_module,,step5_or_step7
M091,走马灯 Carousel,数据展示,handled_or_pending_module,,step5_or_step7
