asset_id,asset_layer,asset_type,asset_name,page_type,keywords,conditions,forbidden_when,variant,html_path,css_path,slots,priority,priority_rank,validation,source_materials,source_step,source_file,notes
region.table-toolbar.basic,region,region,基础表格工具栏,TablePage,"表格工具栏,新建,导出,列表标题,toolbar",列表数据需要表格标题和右侧操作,筛选条件不得放工具栏,basic,assets/regions/table-toolbar/basic.html,assets/regions/_region-support.css,LEFT_SLOT;RIGHT_ACTION_SLOT,100,100,工具栏与筛选区分离;新建为主按钮,M006;M058;M060;M063,step4,data/region-assets.csv,表格区上方操作
region.page-header.with-actions,region,region,带操作页面头部,TablePage|DetailPage|SettingsPage|HomePage,"主操作,新建,导出,头部操作,header action",页面级操作需要固定在标题右侧,批量操作不得放这里,with-actions,assets/regions/page-header/with-actions.html,assets/regions/_region-support.css,TITLE_SLOT;DESCRIPTION_SLOT;ACTION_SLOT,98,98,主按钮最多 1 个;次要操作在主操作左侧,M006;M054;M057;M060,step4,data/region-assets.csv,页面头部按钮规则
region.form-section.multi-section,region,region,多分组表单区域,CreatePage|EditPage,"高级表单,分组表单,业务信息,多段表单",字段较多或存在业务分组,单组简单表单不用,multi-section,assets/regions/form-region/multi-section.html,assets/regions/_region-support.css,SECTION_SLOT;FIELD_SLOT,95,95,分组间用标题和分隔;不要连续堆卡片,M001;M002;M003;M011;M076,step4,data/region-assets.csv,复杂表单
region.page-header.with-back,region,region,带返回页面头部,DetailPage|EditPage|CreatePage,"返回,详情,编辑,提交,取消",需要从详情/编辑返回上级页面,列表页默认不用返回,with-back,assets/regions/page-header/with-back.html,assets/regions/_region-support.css,BACK_SLOT;TITLE_SLOT;DESCRIPTION_SLOT;ACTION_SLOT,95,95,返回入口在标题上方;提交操作右侧固定,M011;M012;M051;M057,step4,data/region-assets.csv,详情编辑场景
region.metric-grid.basic,region,region,指标卡片区,HomePage|ReportPage,"首页,指标,概览,汇总,数据看板",首页/报表页需要展示关键指标,详情页不用,basic,assets/regions/home-region/metric-grid.html,assets/regions/_region-support.css,METRIC_SLOT,92,92,指标数量 3-4 个优先;不要堆过多视觉装饰,M016;M017;M008;M009,step4,data/region-assets.csv,首页和报表
region.table-toolbar.with-column-settings,region,region,带列设置工具栏,TablePage,"列设置,表头设置,批量操作,表格工具栏",表格支持列配置、批量操作或复杂设置,普通表格无需列设置时不用,with-column-settings,assets/regions/table-toolbar/with-column-settings.html,assets/regions/_region-support.css,LEFT_SLOT;RIGHT_ACTION_SLOT,92,92,列设置为次要操作;新建仍为主操作,M006;M042;M058;M089;M090,step4,data/region-assets.csv,表头设置场景
region.data-table.with-selection-summary,region,region,带选择汇总表格区,TablePage,"多选,批量操作,选择,表格",需要批量处理且用户已选择多行,仅单行操作不用,with-selection-summary,assets/regions/table-region/with-selection-summary.html,assets/regions/_region-support.css,SELECTION_SLOT;ACTION_SLOT;TABLE_SLOT,90,90,批量操作不得塞进行内;选择后显示汇总区,M006;M058;M089;M090,step4,data/region-assets.csv,批量操作闭环
region.filter-bar.advanced-expand,region,region,高级展开筛选区,TablePage|ReportPage,"高级筛选,多条件,展开,收起,筛选项配置",筛选项超过 4 个或需要组织/日期/负责人等复合条件,简单搜索不要使用,advanced-expand,assets/regions/filter-bar/advanced-expand.html,assets/regions/_region-support.css,FIELD_SLOT;ACTION_SLOT;TOGGLE_SLOT,90,90,展开/收起入口必须和操作区同组;默认仍保留查询重置,M006;M041;M058;M064;M067;M072;M074;M075,step4,data/region-assets.csv,来自筛选项配置和表格页
region.report-summary-bar.basic,region,region,报表汇总区,ReportPage|TablePage,"报表,汇总,统计,总览",报表页或汇总型表格页需要先看总量,普通列表不用,basic,assets/regions/report-region/summary-bar.html,assets/regions/_region-support.css,SUMMARY_SLOT,88,88,汇总区在筛选区之后或表格前;数量不宜过多,M008;M009,step4,data/region-assets.csv,汇总信息
region.step-indicator.basic,region,region,步骤条区域,CreatePage|EditPage,"分步表单,步骤,流程,提交",需要分步骤填写和校验,普通单页表单不用,basic,assets/regions/navigation-region/step-indicator.html,assets/regions/_region-support.css,STEP_SLOT,88,88,步骤条位于表单内容上方;当前步骤明确,M001;M049,step4,data/region-assets.csv,分步表单
region.dashboard-grid.basic,region,region,首页内容网格,HomePage,"工作台,趋势,待办,快捷入口,首页",首页需要组合趋势、待办、快捷入口,列表页不用,basic,assets/regions/home-region/dashboard-grid.html,assets/regions/_region-support.css,CARD_SLOT,86,86,卡片区域有标题;图表和待办分区展示,M016;M017;M008,step4,data/region-assets.csv,首页骨架
region.detail-side-layout.basic,region,region,详情左右布局区,DetailPage,"左右布局,锚点,详情,侧栏",详情信息较长，需要右侧锚点或辅助信息,短详情不用左右布局,basic,assets/regions/detail-region/side-layout.html,assets/regions/_region-support.css,MAIN_SLOT;SIDE_SLOT,85,85,主内容在左;辅助导航/状态在右,M013;M014;M052;M086,step4,data/region-assets.csv,详情复杂布局
region.tabs.basic,region,region,标签页区域,DetailPage|TablePage|SettingsPage,"tabs,标签页,状态切换,分组切换",同一页面内有并列内容分组,流程步骤不用 tabs,basic,assets/regions/navigation-region/tabs.html,assets/regions/_region-support.css,TAB_SLOT,84,84,只做内容分组切换;不要承担流程步骤,M048;M050;M081,step4,data/region-assets.csv,导航区域
region.anchor.basic,region,region,页内锚点区域,DetailPage|SettingsPage,"锚点,分栏目录,页内导航",长页面需要快速定位分组,短页面不用,basic,assets/regions/navigation-region/anchor.html,assets/regions/_region-support.css,ANCHOR_ITEM_SLOT,82,82,锚点不承载业务操作;只做定位,M052;M068;M015,step4,data/region-assets.csv,页内导航
region.card-grid.basic,region,region,卡片网格区,TablePage|HomePage,"卡片表格,卡片列表,对象卡片",对象以卡片形态展示，字段密度低,高密度数据表格不用,basic,assets/regions/card-grid/basic.html,assets/regions/_region-support.css,CARD_SLOT,82,82,卡片必须有主标题/说明/状态/操作,M004;M091;M080;M082,step4,data/region-assets.csv,卡片列表
region.filter-bar.compact-inline,region,region,紧凑搜索筛选区,TablePage,"搜索,关键词,简单查询,单条件",只有一个主搜索条件或弱筛选页面,复杂条件不用,compact-inline,assets/regions/filter-bar/compact-inline.html,assets/regions/_region-support.css,FIELD_SLOT;ACTION_SLOT,80,80,不能伪装成高级筛选;不得超过 2 个字段,M006;M058;M064;M067,step4,data/region-assets.csv,低复杂度列表
region.split-layout.master-detail,region,region,主从分栏区域,TablePage|DetailPage,"父子表格,主从结构,左树右表,分栏",左侧对象选择影响右侧列表/详情,普通详情不用,master-detail,assets/regions/split-layout/master-detail.html,assets/regions/_region-support.css,MASTER_SLOT;DETAIL_SLOT,80,80,左侧为选择/导航;右侧为数据承载区,M010;M013;M014;M084,step4,data/region-assets.csv,父子/主从结构
region.result.exception,region,region,异常结果区,ErrorPage,"异常,403,404,500,错误页",整页异常或无权限页面,表单字段错误不用,exception,assets/regions/result-region/exception.html,assets/regions/_region-support.css,TITLE_SLOT;DESCRIPTION_SLOT;ACTION_SLOT,75,75,必须给恢复路径,M027,step4,data/region-assets.csv,异常页
region.result.success,region,region,成功结果区,ResultPage,"成功,结果页,提交成功,下一步",操作完成后需要反馈和下一步入口,局部 toast 不用,success,assets/regions/result-region/success.html,assets/regions/_region-support.css,TITLE_SLOT;DESCRIPTION_SLOT;ACTION_SLOT,75,75,必须有结果状态、说明、下一步操作,M027,step4,data/region-assets.csv,结果页
module-approval-flow-basic,module,business_module,审批流程模块,DetailPage|ApprovalPage|CreatePage,"审批,审批流,流程,流转,节点,处理人",需求包含审批流/流程节点/审批详情,普通列表页无流程语义时禁用,basic,assets/modules/approval-flow/basic.html,assets/modules/_module-support.css,APPROVAL_STEP_SLOT,100,100,必须包含节点状态、处理人、时间或待处理说明,M037|M038|M043,step5,data/module-assets.csv,
module-formula-editor-basic,module,business_module,公式编辑器基础模块,SettingsPage|CreatePage|EditPage,"公式,公式编辑器,函数,表达式,字段映射",需要配置计算规则或表达式,普通输入框可满足时禁用,basic,assets/modules/formula-editor/basic.html,assets/modules/_module-support.css,FORMULA_SOURCE_SLOT|FORMULA_EDIT_SLOT|FORMULA_GUIDE_SLOT,100,100,必须包含函数/字段区、编辑区和说明引导,M032|M033|M035,step5,data/module-assets.csv,
module-async-processing-status-panel,module,business_module,异步处理进度模块,TablePage|DetailPage|Modal|Drawer,"异步,处理中,进度,任务,导入结果",任务不会即时完成，需要显示处理进度,同步提交立即完成时禁用,status-panel,assets/modules/async-processing/status-panel.html,assets/modules/_module-support.css,STATUS_SLOT|LOG_SLOT,98,98,必须包含状态、进度、日志或结果入口,M039|M021,step5,data/module-assets.csv,
module-table-header-settings-panel,module,business_module,表头设置模块,TablePage|Drawer|Modal,"表头设置,列设置,显示列,固定列,列排序",用户需要配置表格列显示/固定/排序,非表格页禁用,panel,assets/modules/table-header-settings/panel.html,assets/modules/_module-support.css,COLUMN_SETTING_SLOT,98,98,必须包含显示列、固定列或列排序,M042|M090,step5,data/module-assets.csv,
module-upload-download-basic,module,business_module,上传下载模块,TablePage|CreatePage|SettingsPage,"上传下载,导入,导出,模板,批量导入",需要模板下载、批量导入、结果下载闭环,单纯附件上传时优先 upload-file,basic,assets/modules/upload-download/basic.html,assets/modules/_module-support.css,DOWNLOAD_SLOT|UPLOAD_SLOT|RESULT_SLOT,98,98,必须包含下载模板、上传、结果反馈,M029,step5,data/module-assets.csv,
module-upload-file-basic,module,business_module,上传文件模块,CreatePage|EditPage|DetailPage,"上传,附件,文件上传,拖拽上传",需要提交附件或维护文件,仅下载结果时禁用,basic,assets/modules/upload-file/basic.html,assets/modules/_module-support.css,UPLOAD_SLOT|FILE_LIST_SLOT,98,98,必须包含上传入口和文件列表,M030|M069,step5,data/module-assets.csv,
module-approval-flow-mode-selector,module,business_module,审批模式选择模块,SettingsPage|ApprovalPage|CreatePage,"审批模式,逐级审批,指定审批人,条件分支",需求要求配置审批模式或流程规则,只展示审批结果时禁用,mode-selector,assets/modules/approval-flow/mode-selector.html,assets/modules/_module-support.css,APPROVAL_MODE_SLOT,96,96,至少提供 2 种模式且标明适用场景,M037|M038,step5,data/module-assets.csv,
module-filter-config-panel,module,business_module,筛选项配置模块,SettingsPage|Drawer|Modal,"筛选项配置,高级筛选,默认筛选,字段配置",需要配置筛选项显示、顺序或默认值,简单查询表单不需要配置时禁用,panel,assets/modules/filter-config/panel.html,assets/modules/_module-support.css,FILTER_CONFIG_SLOT,96,96,必须包含字段选择、显示状态和保存操作,M041,step5,data/module-assets.csv,
module-descriptions-basic,module,display_module,描述列表模块,DetailPage|Drawer,"描述列表,详情字段,只读信息,基础信息",只读详情字段成组展示,可编辑字段使用表单区域,basic,assets/modules/descriptions/basic.html,assets/modules/_module-support.css,DESCRIPTION_FIELD_SLOT,94,94,必须使用标签和值成对展示,M086,step5,data/module-assets.csv,
module-drag-sort-list,module,business_module,拖拽排序模块,SettingsPage|Modal|Drawer,"拖拽,排序,字段排序,节点排序",需要调整字段/节点/展示项顺序,只有只读列表时禁用,list,assets/modules/drag-sort/list.html,assets/modules/_module-support.css,SORT_ITEM_SLOT,92,92,必须包含拖拽柄、排序项和保存操作,M040,step5,data/module-assets.csv,
module-related-table-basic,module,business_module,关联表模块,DetailPage|ApprovalPage,"关联表,关联数据,关联单据,明细表",详情页需要展示关联对象或明细,主列表页不作为主表格使用,basic,assets/modules/related-table/basic.html,assets/modules/_module-support.css,RELATED_ROW_SLOT,90,90,必须放在详情主体或详情抽屉内,M012|M015|M089,step5,data/module-assets.csv,
module-formula-editor-with-assistant,module,business_module,智能公式助手模块,SettingsPage|CreatePage|EditPage,"智能助手,公式模板,模板推荐,自然语言公式",公式编辑复杂且需要模板/助手辅助,简单公式编辑时可选不用,with-assistant,assets/modules/formula-editor/with-assistant.html,assets/modules/_module-support.css,ASSISTANT_SLOT|TEMPLATE_SLOT,88,88,必须作为公式编辑器的辅助模块，不单独成页,M034|M035,step5,data/module-assets.csv,
module-table-header-filter-dropdown,module,display_module,表头筛选模块,TablePage,"表头筛选,列筛选,表格筛选",表格列需要局部筛选,全局筛选足够时禁用,dropdown,assets/modules/table-header-filter/dropdown.html,assets/modules/_module-support.css,FILTER_OPTION_SLOT,88,88,必须包含筛选项和确认/清空操作,M090,step5,data/module-assets.csv,
module-file-preview-basic,module,display_module,文件预览模块,DetailPage|Drawer|Modal,"文件预览,预览,附件,PDF,图片,Excel",需要在页面内查看文件内容,只下载文件时禁用,basic,assets/modules/file-preview/basic.html,assets/modules/_module-support.css,FILE_LIST_SLOT|PREVIEW_SLOT,86,86,必须包含文件列表和预览区域,M079,step5,data/module-assets.csv,
module-image-crop-panel,module,business_module,图片裁剪模块,Modal|Drawer|CreatePage|EditPage,"图片裁剪,头像,图片处理,裁切",需要上传后裁剪图片,普通图片预览禁用,panel,assets/modules/image-crop/panel.html,assets/modules/_module-support.css,CROP_CANVAS_SLOT|PREVIEW_SLOT,86,86,必须包含裁剪画布、预览和确认操作,M036,step5,data/module-assets.csv,
module-operation-log-basic,module,business_module,操作记录模块,DetailPage|ApprovalPage|Drawer,"操作记录,流转记录,日志,历史记录",需要追踪谁在什么时间做了什么,无历史语义时禁用,basic,assets/modules/operation-log/basic.html,assets/modules/_module-support.css,LOG_ITEM_SLOT,86,86,必须包含时间、操作者、动作,M015|M043,step5,data/module-assets.csv,
module-tree-basic,module,display_module,树形结构模块,SettingsPage|TablePage|Drawer,"树,树形控件,组织树,目录树",层级对象选择或展示,平铺列表足够时禁用,basic,assets/modules/tree/basic.html,assets/modules/_module-support.css,TREE_NODE_SLOT,84,84,必须体现层级和当前选中项,M084|M074,step5,data/module-assets.csv,
module-collapse-basic,module,display_module,折叠面板模块,DetailPage|SettingsPage|CreatePage,"折叠面板,收起,展开,分组信息",信息分组较多，需要降低首屏压力,少量信息不使用折叠,basic,assets/modules/collapse/basic.html,assets/modules/_module-support.css,COLLAPSE_ITEM_SLOT,82,82,必须包含展开态和收起态,M085,step5,data/module-assets.csv,
module-fullscreen-entry,module,business_module,全屏工作区模块,TablePage|SettingsPage|ReportPage,"全屏,沉浸,大屏,全屏编辑",需要沉浸处理复杂配置或报表,普通详情查看不应默认全屏,entry,assets/modules/fullscreen/entry.html,assets/modules/_module-support.css,FULLSCREEN_CONTENT_SLOT,82,82,必须包含退出全屏操作,M031,step5,data/module-assets.csv,
FB_MESSAGE_ERROR,feedback,message,FB_MESSAGE_ERROR,All,"失败,错误,操作失败",轻量错误反馈,不用于表单字段级校验,error,assets/feedback/message/error.html,assets/feedback/_feedback-support.css,OVERLAY_SLOT | BODY_END,3,3,短文案；需给出重试或原因时改用 alert/notification,,step6,data/feedback-state-overlay-assets.csv,
FB_MESSAGE_SUCCESS,feedback,message,FB_MESSAGE_SUCCESS,All,"成功,保存成功,提交成功,删除成功",轻量操作结果反馈,不承载长说明或下一步复杂操作,success,assets/feedback/message/success.html,assets/feedback/_feedback-support.css,OVERLAY_SLOT | BODY_END,3,3,短文案；自动消失；不阻断用户流程,,step6,data/feedback-state-overlay-assets.csv,
FB_NOTIFICATION_BASIC,feedback,notification,FB_NOTIFICATION_BASIC,All,"通知,提醒,异步完成,后台任务",异步结果、可稍后处理的提醒,不用于必须立即确认的阻断流程,basic,assets/feedback/notification/basic.html,assets/feedback/_feedback-support.css,OVERLAY_SLOT | BODY_END,3,3,允许携带次级操作；不得遮挡主任务,,step6,data/feedback-state-overlay-assets.csv,
FB_ALERT_BASIC,feedback,alert,FB_ALERT_BASIC,All,"提示,警告,说明,状态说明,限制说明",局部页面区域需要说明信息,不用于高风险二次确认,info,assets/feedback/alert/basic.html,assets/feedback/_feedback-support.css,CONTENT_SLOT | REGION_TOP,2,2,必须包含标题或说明；不得替代 Modal 确认,,step6,data/feedback-state-overlay-assets.csv,
FB_ALERT_WARNING,feedback,alert,FB_ALERT_WARNING,All,"风险提示,配置影响,注意,警告",用户继续前需要理解影响范围,不用于提交成功或普通结果,warning,assets/feedback/alert/warning.html,assets/feedback/_feedback-support.css,CONTENT_SLOT | REGION_TOP,2,2,风险不高于确认框；高风险改用 confirm modal,,step6,data/feedback-state-overlay-assets.csv,
ST_LOADING_SPIN,state,loading,ST_LOADING_SPIN,All,"加载中,等待,处理中",短时加载或局部刷新,不用于首屏长加载,spin,assets/states/loading/spin.html,assets/feedback/_feedback-support.css,CONTENT_SLOT | REGION_SLOT,3,3,用于短时等待；长加载优先 skeleton,,step6,data/feedback-state-overlay-assets.csv,
ST_EMPTY_BASIC,state,empty,ST_EMPTY_BASIC,TablePage | DetailPage | FormPage | SettingsPage,"空状态,暂无数据,没有结果",内容为空且需要说明下一步,不用于加载中,basic,assets/states/empty/basic.html,assets/feedback/_feedback-support.css,CONTENT_SLOT | TABLE_BODY_SLOT,2,2,必须有标题；可选主操作；不得只显示图形,,step6,data/feedback-state-overlay-assets.csv,
ST_LOADING_SKELETON,state,loading,ST_LOADING_SKELETON,TablePage | DetailPage | FormPage,"骨架屏,加载占位,首屏加载",首屏或列表区域加载,不用于按钮内加载,skeleton,assets/states/loading/skeleton.html,assets/feedback/_feedback-support.css,CONTENT_SLOT | CARD_BODY_SLOT,2,2,结构应贴近最终内容；不得与 spin 同时出现,,step6,data/feedback-state-overlay-assets.csv,
ST_PROGRESS_BASIC,state,progress,ST_PROGRESS_BASIC,All,"进度,上传进度,处理进度,任务进度",可量化任务进度,不用于未知时长等待,basic,assets/states/progress/basic.html,assets/feedback/_feedback-support.css,MODULE_SLOT | REGION_SLOT,2,2,必须显示当前进度语义；未知进度用 spin,,step6,data/feedback-state-overlay-assets.csv,
ST_RESULT_ERROR,state,result,ST_RESULT_ERROR,ResultPage | FullPage | Overlay,"失败结果,提交失败,错误页",流程失败且需要修正/重试,不用于字段级错误,error,assets/states/result/error.html,assets/feedback/_feedback-support.css,CONTENT_SLOT,2,2,必须说明失败原因或下一步处理路径,,step6,data/feedback-state-overlay-assets.csv,
ST_RESULT_SUCCESS,state,result,ST_RESULT_SUCCESS,ResultPage | FullPage | Overlay,"成功结果,提交成功,完成",流程结束且需要下一步引导,不用于普通 toast,success,assets/states/result/success.html,assets/feedback/_feedback-support.css,CONTENT_SLOT,2,2,必须提供返回或查看后续动作,,step6,data/feedback-state-overlay-assets.csv,
OV_POPCONFIRM_BASIC,overlay,popconfirm,OV_POPCONFIRM_BASIC,All,"气泡确认,轻量确认,行内删除",行内轻量危险操作确认,不用于复杂说明或批量高风险,basic,assets/overlays/popconfirm/basic.html,assets/feedback/_feedback-support.css,TRIGGER_SLOT | ACTION_SLOT,2,2,必须靠近触发项；不得替代复杂 confirm modal,,step6,data/feedback-state-overlay-assets.csv,
OV_DRAWER_BASIC,overlay,drawer,OV_DRAWER_BASIC,Page Overlay | Full Page,"抽屉,右侧详情,复杂配置,保留上下文",需要保留列表上下文的详情或配置,不用于短确认,basic,assets/overlays/drawer/basic.html,assets/feedback/_feedback-support.css,OVERLAY_SLOT,1,1,必须从页面右侧进入；内容较长可滚动,,step6,data/feedback-state-overlay-assets.csv,
OV_MODAL_CONFIRM,overlay,confirm-modal,OV_MODAL_CONFIRM,Page Overlay | Full Page,"确认,删除,撤销,作废,高风险",高风险动作二次确认,不用于普通提示,confirm,assets/overlays/modal/confirm.html,assets/feedback/_feedback-support.css,OVERLAY_SLOT,1,1,必须有明确风险文案和取消/确认两个动作,,step6,data/feedback-state-overlay-assets.csv,
OV_MODAL_FUNCTIONAL,overlay,modal,OV_MODAL_FUNCTIONAL,Page Overlay | Full Page,"弹窗,短流程,编辑,新增,信息补充",短流程表单或简单编辑,不用于长内容和复杂配置,functional,assets/overlays/modal/functional.html,assets/feedback/_feedback-support.css,OVERLAY_SLOT,1,1,必须挂载到 overlay-root；不得插入 page-content 内,,step6,data/feedback-state-overlay-assets.csv,
combo-body-action-panel,component_combo,component_combo,内容区局部操作面板,All,内容区 body 局部操作 保存 配置 操作面板,操作只影响当前模块/区块，不影响整页,整页提交；表格批量操作；头部全局操作,description-left-actions-right,assets/component-combos/button-placement/body-action-panel.html,assets/component-combos/_component-combo-support.css,BODY_ACTION_SLOT,P0,100,必须有影响范围说明；操作靠右；不要脱离所属区块,M054,step7,data/component-combo-assets.csv,
combo-footer-actions,component_combo,component_combo,页面底部提交按钮组,CreatePage | EditPage | SettingsPage,底部 footer 提交 保存 取消 表单操作,长表单、分组表单或配置页需要稳定提交入口,短弹窗内容；表格工具栏；单行操作,sticky-submit,assets/component-combos/button-placement/footer-actions.html,assets/component-combos/_component-combo-support.css,PAGE_FOOTER_ACTIONS_SLOT,P0,100,主提交按钮唯一且最右；取消在左；底部吸附时不得遮挡内容,M056,step7,data/component-combo-assets.csv,
combo-header-actions,component_combo,component_combo,页面头部操作按钮组,All,头部操作 header action 主操作 新建 导出 返回,页面头部存在全局动作；动作影响整个页面对象,仅作用于单行或局部区域的操作；不要放到头部,primary-secondary,assets/component-combos/button-placement/header-actions.html,assets/component-combos/_component-combo-support.css,HEADER_ACTIONS_SLOT,P0,100,最多一个主按钮；主按钮靠右；次要按钮在主按钮左侧,M057,step7,data/component-combo-assets.csv,
combo-switch-setting,component_combo,component_combo,开关设置项,SettingsPage,开关 switch 启用 禁用 设置项,状态可即时开启/关闭，且结果可被清楚解释,需要提交审核；有多项参数；不可立即生效的操作,description-left-switch-right,assets/component-combos/form-controls/switch-setting.html,assets/component-combos/_component-combo-support.css,SETTING_ITEM_SLOT,P0,100,必须说明开启/关闭影响；不可用 switch 替代表单提交,M071 | M059,step7,data/component-combo-assets.csv,
combo-toolbar-actions,component_combo,component_combo,表格工具栏操作按钮组,TablePage,工具栏 toolbar 批量操作 新建 列设置 刷新,列表/表格上方有数据级操作或视图级操作,表单提交按钮；页面级返回按钮,left-business-right-view,assets/component-combos/button-placement/toolbar-actions.html,assets/component-combos/_component-combo-support.css,TABLE_TOOLBAR_ACTIONS_SLOT,P0,100,左侧放业务动作；右侧放视图/设置动作；同组按钮间距8px,M058,step7,data/component-combo-assets.csv,
combo-cascader-field,component_combo,component_combo,Cascader 级联选择,FormPage | FilterBar | Overlay,地区 层级 级联 多级,需要录入或选择单个字段值,只读展示；复杂批量编辑；应使用专用模块的场景,label-control-help,assets/component-combos/form-controls/cascader.html,assets/component-combos/_component-combo-support.css,FIELD_SLOT,P1,80,必须包含 label；帮助文案可删；不要裸放控件,M075,step7,data/component-combo-assets.csv,
combo-checkbox-group,component_combo,component_combo,多选项组合,FormPage | Overlay | SettingsPage,多选 checkbox 勾选 复选,多个非互斥选项，可同时选择多个,互斥选项；单一启停状态,inline-options,assets/component-combos/form-controls/checkbox-group.html,assets/component-combos/_component-combo-support.css,FIELD_SLOT,P1,80,多选语义必须清楚；禁用项需要原因说明,M070,step7,data/component-combo-assets.csv,
combo-date-picker-field,component_combo,component_combo,DatePicker 日期选择,FormPage | FilterBar | Overlay,日期 时间 开始时间 结束时间,需要录入或选择单个字段值,只读展示；复杂批量编辑；应使用专用模块的场景,label-control-help,assets/component-combos/form-controls/date-picker.html,assets/component-combos/_component-combo-support.css,FIELD_SLOT,P1,80,必须包含 label；帮助文案可删；不要裸放控件,M072,step7,data/component-combo-assets.csv,
combo-input-field,component_combo,component_combo,Input 输入框,FormPage | FilterBar | Overlay,文本输入 关键字 搜索 名称 编号,需要录入或选择单个字段值,只读展示；复杂批量编辑；应使用专用模块的场景,label-control-help,assets/component-combos/form-controls/input.html,assets/component-combos/_component-combo-support.css,FIELD_SLOT,P1,80,必须包含 label；帮助文案可删；不要裸放控件,M064,step7,data/component-combo-assets.csv,
combo-input-number-field,component_combo,component_combo,InputNumber 数字输入框,FormPage | FilterBar | Overlay,数字 金额 次数 数量 比例,需要录入或选择单个字段值,只读展示；复杂批量编辑；应使用专用模块的场景,label-control-help,assets/component-combos/form-controls/input-number.html,assets/component-combos/_component-combo-support.css,FIELD_SLOT,P1,80,必须包含 label；帮助文案可删；不要裸放控件,M065,step7,data/component-combo-assets.csv,
