material_id,source_path,source_folder,material_name,material_category,asset_layer,candidate_asset_id,candidate_asset_name,target_page_types,primary_output,needs_direct_html,needs_rule,priority,proposed_target_path,conversion_strategy,coverage_status,width,height,mode
M049,场景/导航/步骤条 Steps.png,场景/导航,步骤条 Steps,导航,navigation_region,steps,步骤条 Steps,All,HTML fragment,yes,yes,P1,assets/regions/navigation/steps.html,转为页面内导航/分页/步骤资产,listed_from_zip,2000,4156,RGBA
M050,场景/导航/胶囊选项卡 CapsuleTabs .png,场景/导航,胶囊选项卡 CapsuleTabs ,导航,navigation_region,capsule-tabs,胶囊选项卡 CapsuleTabs ,All,HTML fragment,yes,yes,P1,assets/regions/navigation/capsule-tabs.html,转为页面内导航/分页/步骤资产,listed_from_zip,2000,5007,RGBA
M051,场景/导航/返回按钮 ReturnButton .png,场景/导航,返回按钮 ReturnButton ,导航,navigation_region,return-button,返回按钮 ReturnButton ,All,HTML fragment,yes,yes,P1,assets/regions/navigation/return-button.html,转为页面内导航/分页/步骤资产,listed_from_zip,2000,3573,RGBA
M052,场景/导航/锚点 Anchor.png,场景/导航,锚点 Anchor,导航,navigation_region,anchor,锚点 Anchor,All,HTML fragment,yes,yes,P1,assets/regions/navigation/anchor.html,转为页面内导航/分页/步骤资产,listed_from_zip,2000,5338,RGBA
M053,场景/导航/顶部导航 AppNav.png,场景/导航,顶部导航 AppNav,导航,shell_navigation_rule,top-navigation,顶部导航 AppNav,FullPage,rule / shell reference,partial,yes,P1,references/navigation-rules.md,用于壳子和导航规则，不优先转内容区 HTML,listed_from_zip,2200,10432,RGBA
M054,场景/按钮规则/Body 内容区按钮位置.png,场景/按钮规则,Body 内容区按钮位置,按钮规则,component_combo_rule,body-button-placement,Body 内容区按钮位置,All,rule + placement variant,partial,yes,P0,data/asset-rules.csv + assets/component-combos/body-button-placement.html,转为操作区位置规则和按钮组组合，不独立生成整页,listed_from_zip,3402,3660,RGBA
M055,场景/按钮规则/Button 按钮.png,场景/按钮规则,Button 按钮,按钮规则,interaction_rule,button,Button 按钮,All,rule,no,yes,P0,data/asset-rules.csv,转为按钮使用/禁用/链接按钮规则，约束资产装配,listed_from_zip,3402,10602,RGBA
M056,场景/按钮规则/Footer 页面底部区按钮位置.png,场景/按钮规则,Footer 页面底部区按钮位置,按钮规则,component_combo_rule,footer-button-placement,Footer 页面底部区按钮位置,All,rule + placement variant,partial,yes,P0,data/asset-rules.csv + assets/component-combos/footer-button-placement.html,转为操作区位置规则和按钮组组合，不独立生成整页,listed_from_zip,3402,3596,RGBA
M057,场景/按钮规则/Header页面头部区域按钮位置.png,场景/按钮规则,Header页面头部区域按钮位置,按钮规则,component_combo_rule,header-button-placement,Header页面头部区域按钮位置,All,rule + placement variant,partial,yes,P0,data/asset-rules.csv + assets/component-combos/header-button-placement.html,转为操作区位置规则和按钮组组合，不独立生成整页,listed_from_zip,3402,4190,RGBA
M058,场景/按钮规则/Toolbar 操作工具区按钮位置.png,场景/按钮规则,Toolbar 操作工具区按钮位置,按钮规则,component_combo_rule,toolbar-button-placement,Toolbar 操作工具区按钮位置,All,rule + placement variant,partial,yes,P0,data/asset-rules.csv + assets/component-combos/toolbar-button-placement.html,转为操作区位置规则和按钮组组合，不独立生成整页,listed_from_zip,3402,6716,RGBA
M059,场景/按钮规则/勾选和开关按钮的使用规则.png,场景/按钮规则,勾选和开关按钮的使用规则,按钮规则,interaction_rule,checkbox-switch-rule,勾选和开关按钮的使用规则,All,rule,no,yes,P0,data/asset-rules.csv,转为按钮使用/禁用/链接按钮规则，约束资产装配,listed_from_zip,2958,7919,RGBA
M060,场景/按钮规则/按钮使用原则.png,场景/按钮规则,按钮使用原则,按钮规则,interaction_rule,button-principles,按钮使用原则,All,rule,no,yes,P0,data/asset-rules.csv,转为按钮使用/禁用/链接按钮规则，约束资产装配,listed_from_zip,3402,16212,RGBA
M061,场景/按钮规则/禁用态探索.png,场景/按钮规则,禁用态探索,按钮规则,interaction_rule,disabled-state-exploration,禁用态探索,All,rule,no,yes,P0,data/asset-rules.csv,转为按钮使用/禁用/链接按钮规则，约束资产装配,listed_from_zip,3748,19856,RGBA
M062,场景/按钮规则/禁用按钮使用规则.png,场景/按钮规则,禁用按钮使用规则,按钮规则,interaction_rule,disabled-button-rule,禁用按钮使用规则,All,rule,no,yes,P0,data/asset-rules.csv,转为按钮使用/禁用/链接按钮规则，约束资产装配,listed_from_zip,3402,13932,RGBA
M063,场景/按钮规则/链接按钮使用规则.png,场景/按钮规则,链接按钮使用规则,按钮规则,interaction_rule,link-button-rule,链接按钮使用规则,All,rule,no,yes,P0,data/asset-rules.csv,转为按钮使用/禁用/链接按钮规则，约束资产装配,listed_from_zip,5400,5040,RGBA
M064,场景/数据 录入/Input 输入框.png,场景/数据 录入,Input 输入框,数据录入,component_combo,input,Input 输入框,FormPage | FilterBar | Overlay,HTML fragment + rule,partial,yes,P1,assets/component-combos/input.html,转为表单控件组合规则，必要时生成控件片段,listed_from_zip,2000,6716,RGBA
M065,场景/数据 录入/InputNumber 数字输入框.png,场景/数据 录入,InputNumber 数字输入框,数据录入,component_combo,input-number,InputNumber 数字输入框,FormPage | FilterBar | Overlay,HTML fragment + rule,partial,yes,P1,assets/component-combos/input-number.html,转为表单控件组合规则，必要时生成控件片段,listed_from_zip,2000,6459,RGBA
M066,场景/数据 录入/Radio 单选框.png,场景/数据 录入,Radio 单选框,数据录入,component_combo,radio,Radio 单选框,FormPage | FilterBar | Overlay,HTML fragment + rule,partial,yes,P1,assets/component-combos/radio.html,转为表单控件组合规则，必要时生成控件片段,listed_from_zip,2000,7373,RGBA
M067,场景/数据 录入/Select 选择器.png,场景/数据 录入,Select 选择器,数据录入,component_combo,select,Select 选择器,FormPage | FilterBar | Overlay,HTML fragment + rule,partial,yes,P1,assets/component-combos/select.html,转为表单控件组合规则，必要时生成控件片段,listed_from_zip,2000,4968,RGBA
M068,场景/数据 录入/Sidebar Contents 分栏目录.png,场景/数据 录入,Sidebar Contents 分栏目录,数据录入,component_combo,sidebar-contents,Sidebar Contents 分栏目录,FormPage | FilterBar | Overlay,HTML fragment + rule,partial,yes,P1,assets/component-combos/sidebar-contents.html,转为表单控件组合规则，必要时生成控件片段,listed_from_zip,2400,11604,RGBA
M069,场景/数据 录入/上传 Upload.png,场景/数据 录入,上传 Upload,数据录入,component_combo,upload,上传 Upload,FormPage | FilterBar | Overlay,HTML fragment + rule,partial,yes,P1,assets/component-combos/upload.html,转为表单控件组合规则，必要时生成控件片段,listed_from_zip,2700,7447,RGBA
M070,场景/数据 录入/多选 Checkbox (1).png,场景/数据 录入,多选 Checkbox (1),数据录入,component_combo,checkbox,多选 Checkbox (1),FormPage | FilterBar | Overlay,HTML fragment + rule,partial,yes,P1,assets/component-combos/checkbox.html,转为表单控件组合规则，必要时生成控件片段,listed_from_zip,2000,3363,RGBA
M071,场景/数据 录入/开关 Switch.png,场景/数据 录入,开关 Switch,数据录入,component_combo,switch,开关 Switch,FormPage | FilterBar | Overlay,HTML fragment + rule,partial,yes,P1,assets/component-combos/switch.html,转为表单控件组合规则，必要时生成控件片段,listed_from_zip,2000,3851,RGBA
M072,场景/数据 录入/日期时间选择器 DatePicker.png,场景/数据 录入,日期时间选择器 DatePicker,数据录入,component_combo,date-picker,日期时间选择器 DatePicker,FormPage | FilterBar | Overlay,HTML fragment + rule,partial,yes,P1,assets/component-combos/date-picker.html,转为表单控件组合规则，必要时生成控件片段,listed_from_zip,2192,5532,RGBA
M073,场景/数据 录入/日期时间选择器 TimePicker.png,场景/数据 录入,日期时间选择器 TimePicker,数据录入,component_combo,time-picker,日期时间选择器 TimePicker,FormPage | FilterBar | Overlay,HTML fragment + rule,partial,yes,P1,assets/component-combos/time-picker.html,转为表单控件组合规则，必要时生成控件片段,listed_from_zip,2192,3380,RGBA
M074,场景/数据 录入/树选择 TreeSelect.png,场景/数据 录入,树选择 TreeSelect,数据录入,component_combo,tree-select,树选择 TreeSelect,FormPage | FilterBar | Overlay,HTML fragment + rule,partial,yes,P1,assets/component-combos/tree-select.html,转为表单控件组合规则，必要时生成控件片段,listed_from_zip,2000,3374,RGBA
M075,场景/数据 录入/级联选择 Cascader (1).png,场景/数据 录入,级联选择 Cascader (1),数据录入,component_combo,cascader,级联选择 Cascader (1),FormPage | FilterBar | Overlay,HTML fragment + rule,partial,yes,P1,assets/component-combos/cascader.html,转为表单控件组合规则，必要时生成控件片段,listed_from_zip,2100,4849,RGBA
M076,场景/数据 录入/表单 Form.png,场景/数据 录入,表单 Form,数据录入,form_region,form,表单 Form,FormPage | EditPage | Overlay,HTML fragment,yes,yes,P0,assets/regions/form/form.html,转为表单区域资产和字段组规则,listed_from_zip,2225,10576,RGBA
M077,场景/数据展示/Badge 徽标.png,场景/数据展示,Badge 徽标,数据展示,display_component_combo,badge,Badge 徽标,All,HTML fragment + rule,partial,yes,P2,assets/component-combos/display/badge.html,转为展示组件组合/使用规则,listed_from_zip,2225,5301,RGBA
M078,场景/数据展示/Empty 空状态.png,场景/数据展示,Empty 空状态,数据展示,state_asset,empty,Empty 空状态,All,HTML fragment,yes,yes,P1,assets/states/empty.html,转为空状态资产,listed_from_zip,2000,8417,RGBA
M079,场景/数据展示/FilePreview 文件预览.png,场景/数据展示,FilePreview 文件预览,数据展示,display_module,file-preview,FilePreview 文件预览,TablePage | DetailPage | SettingsPage,HTML fragment,yes,yes,P1,assets/modules/display/file-preview.html,转为展示模块资产,listed_from_zip,2544,7658,RGBA
M080,场景/数据展示/Image 图片.png,场景/数据展示,Image 图片,数据展示,display_component_combo,image,Image 图片,All,HTML fragment + rule,partial,yes,P2,assets/component-combos/display/image.html,转为展示组件组合/使用规则,listed_from_zip,2225,11213,RGBA
M081,场景/数据展示/Segmented 分段控制器.png,场景/数据展示,Segmented 分段控制器,数据展示,display_component_combo,segmented,Segmented 分段控制器,All,HTML fragment + rule,partial,yes,P2,assets/component-combos/display/segmented.html,转为展示组件组合/使用规则,listed_from_zip,2000,4243,RGBA
M082,场景/数据展示/Tag 标签.png,场景/数据展示,Tag 标签,数据展示,display_component_combo,tag,Tag 标签,All,HTML fragment + rule,partial,yes,P2,assets/component-combos/display/tag.html,转为展示组件组合/使用规则,listed_from_zip,2000,6418,RGBA
M083,场景/数据展示/Tour 漫游式引导.png,场景/数据展示,Tour 漫游式引导,数据展示,display_component_combo,tour,Tour 漫游式引导,All,HTML fragment + rule,partial,yes,P2,assets/component-combos/display/tour.html,转为展示组件组合/使用规则,listed_from_zip,2292,5441,RGBA
M084,场景/数据展示/Tree 树形控件.png,场景/数据展示,Tree 树形控件,数据展示,display_module,tree,Tree 树形控件,TablePage | DetailPage | SettingsPage,HTML fragment,yes,yes,P1,assets/modules/display/tree.html,转为展示模块资产,listed_from_zip,2000,4153,RGBA
M085,场景/数据展示/折叠面板 Collapse.png,场景/数据展示,折叠面板 Collapse,数据展示,display_module,collapse,折叠面板 Collapse,TablePage | DetailPage | SettingsPage,HTML fragment,yes,yes,P1,assets/modules/display/collapse.html,转为展示模块资产,listed_from_zip,2000,5778,RGBA
M086,场景/数据展示/描述列表 Descriptions.png,场景/数据展示,描述列表 Descriptions,数据展示,display_module,descriptions,描述列表 Descriptions,TablePage | DetailPage | SettingsPage,HTML fragment,yes,yes,P0,assets/modules/display/descriptions.html,转为展示模块资产,listed_from_zip,2225,8797,RGBA
M087,场景/数据展示/文字提示 Tooltip.png,场景/数据展示,文字提示 Tooltip,数据展示,display_component_combo,tooltip,文字提示 Tooltip,All,HTML fragment + rule,partial,yes,P2,assets/component-combos/display/tooltip.html,转为展示组件组合/使用规则,listed_from_zip,2000,4002,RGBA
M088,场景/数据展示/气泡卡片  Popover.png,场景/数据展示,气泡卡片  Popover,数据展示,display_component_combo,popover,气泡卡片  Popover,All,HTML fragment + rule,partial,yes,P2,assets/component-combos/display/popover.html,转为展示组件组合/使用规则,listed_from_zip,2000,6448,RGBA
M089,场景/数据展示/表格 Table.png,场景/数据展示,表格 Table,数据展示,display_module,table,表格 Table,TablePage | DetailPage | SettingsPage,HTML fragment,yes,yes,P0,assets/modules/display/table.html,转为展示模块资产,listed_from_zip,2000,14411,P
M090,场景/数据展示/表格-表头筛选.png,场景/数据展示,表格-表头筛选,数据展示,display_module,table-header-filter,表格-表头筛选,TablePage | DetailPage | SettingsPage,HTML fragment,yes,yes,P0,assets/modules/display/table-header-filter.html,转为展示模块资产,listed_from_zip,2000,6050,P
