asset_id,asset_layer,asset_type,asset_name,page_type,keywords,conditions,forbidden_when,variant,html_path,css_path,slots,priority,priority_rank,validation,source_materials,source_step,source_file,notes
region.filter-bar.advanced-expand,region,region,高级展开筛选区,TablePage|ReportPage,"高级筛选,多条件,展开,收起,筛选项配置",筛选项超过 4 个或需要组织/日期/负责人等复合条件,简单搜索不要使用,advanced-expand,assets/content-assets/regions/filter-bar/advanced-expand.html,assets/content-assets/_support/region-support.css,FIELD_SLOT;ACTION_SLOT;TOGGLE_SLOT,90,90,展开/收起入口必须和操作区同组;默认仍保留查询重置,M006;M041;M058;M064;M067;M072;M074;M075,step4,data/region-assets.csv,来自筛选项配置和表格页
region.report-summary-bar.basic,region,region,报表汇总区,ReportPage|TablePage,"报表,汇总,统计,总览",报表页或汇总型表格页需要先看总量,普通列表不用,basic,assets/content-assets/regions/report-region/summary-bar.html,assets/content-assets/_support/region-support.css,SUMMARY_SLOT,88,88,汇总区在筛选区之后或表格前;数量不宜过多,M008;M009,step4,data/region-assets.csv,汇总信息
region.step-indicator.basic,region,region,步骤条区域,CreatePage|EditPage,"分步表单,步骤,流程,提交",需要分步骤填写和校验,普通单页表单不用,basic,assets/content-assets/regions/navigation-region/step-indicator.html,assets/content-assets/_support/region-support.css,STEP_SLOT,88,88,步骤条位于表单内容上方;当前步骤明确,M001;M049,step4,data/region-assets.csv,分步表单
region.dashboard-grid.basic,region,region,首页内容网格,HomePage,"工作台,趋势,待办,快捷入口,首页",首页需要组合趋势、待办、快捷入口,列表页不用,basic,assets/content-assets/regions/home-region/dashboard-grid.html,assets/content-assets/_support/region-support.css,CARD_SLOT,86,86,卡片区域有标题;图表和待办分区展示,M016;M017;M008,step4,data/region-assets.csv,首页骨架
layout.detail-side.basic,layout,layout,详情左右布局区,DetailPage,"左右布局,锚点,详情,侧栏",详情信息较长，需要右侧锚点或辅助信息,短详情不用左右布局,basic,assets/content-assets/layouts/detail-side/basic.html,assets/content-assets/_support/layout-support.css,MAIN_SLOT;SIDE_SLOT,85,85,主内容在左;辅助导航/状态在右,M013;M014;M052;M086,semantic-refactor,data/manual,layout 正式层
layout.tabs.basic,layout,layout,标签页布局区,DetailPage|TablePage|SettingsPage,"tabs,标签页,状态切换,分组切换",同一页面内有并列内容分组,流程步骤不用 tabs,basic,assets/content-assets/layouts/tabs/basic.html,assets/content-assets/_support/layout-support.css,TAB_SLOT,84,84,只做内容分组切换;不要承担流程步骤,M048;M050;M081,semantic-refactor,data/manual,layout 正式层
region.anchor.basic,region,region,页内锚点区域,DetailPage|SettingsPage,"锚点,分栏目录,页内导航",长页面需要快速定位分组,短页面不用,basic,assets/content-assets/regions/navigation-region/anchor.html,assets/content-assets/_support/region-support.css,ANCHOR_ITEM_SLOT,82,82,锚点不承载业务操作;只做定位,M052;M068;M015,step4,data/region-assets.csv,页内导航
region.card-grid.basic,region,region,卡片网格区,TablePage|HomePage,"卡片表格,卡片列表,对象卡片",对象以卡片形态展示，字段密度低,高密度数据表格不用,basic,assets/content-assets/regions/card-grid/basic.html,assets/content-assets/_support/region-support.css,CARD_SLOT,82,82,卡片必须有主标题/说明/状态/操作,M004;M091;M080;M082,step4,data/region-assets.csv,卡片列表
region.filter-bar.compact-inline,region,region,紧凑搜索筛选区,TablePage,"搜索,关键词,简单查询,单条件",只有一个主搜索条件或弱筛选页面,复杂条件不用,compact-inline,assets/content-assets/regions/filter-bar/compact-inline.html,assets/content-assets/_support/region-support.css,FIELD_SLOT;ACTION_SLOT,80,80,不能伪装成高级筛选;不得超过 2 个字段,M006;M058;M064;M067,step4,data/region-assets.csv,低复杂度列表
layout.master-detail.basic,layout,layout,主从分栏区域,TablePage|DetailPage|SettingsPage,"父子表格,主从结构,左树右表,分栏",左侧对象选择影响右侧列表/详情,普通详情不用,basic,assets/content-assets/layouts/master-detail/basic.html,assets/content-assets/_support/layout-support.css,MASTER_SLOT;DETAIL_SLOT,80,80,左侧为选择/导航;右侧为数据承载区,M010;M013;M014;M084,semantic-refactor,data/manual,layout 正式层
region.result.exception,region,region,异常结果区,ErrorPage,"异常,403,404,500,错误页",整页异常或无权限页面,表单字段错误不用,exception,assets/content-assets/regions/result-region/exception.html,assets/content-assets/_support/region-support.css,TITLE_SLOT;DESCRIPTION_SLOT;ACTION_SLOT,75,75,必须给恢复路径,M027,step4,data/region-assets.csv,异常页
region.result.success,region,region,成功结果区,ResultPage,"成功,结果页,提交成功,下一步",操作完成后需要反馈和下一步入口,局部 toast 不用,success,assets/content-assets/regions/result-region/success.html,assets/content-assets/_support/region-support.css,TITLE_SLOT;DESCRIPTION_SLOT;ACTION_SLOT,75,75,必须有结果状态、说明、下一步操作,M027,step4,data/region-assets.csv,结果页
module-approval-flow-basic,module,business_module,审批流程模块,DetailPage|ApprovalPage|CreatePage,"审批,审批流,流程,流转,节点,处理人",需求包含审批流/流程节点/审批详情,普通列表页无流程语义时禁用,basic,assets/content-assets/modules/approval-flow/basic.html,assets/content-assets/_support/module-support.css,APPROVAL_STEP_SLOT,100,100,必须包含节点状态、处理人、时间或待处理说明,M037|M038|M043,step5,data/module-assets.csv,
module-formula-editor-basic,module,business_module,公式编辑器基础模块,SettingsPage|CreatePage|EditPage,"公式,公式编辑器,函数,表达式,字段映射",需要配置计算规则或表达式,普通输入框可满足时禁用,basic,assets/content-assets/modules/formula-editor/basic.html,assets/content-assets/_support/module-support.css,FORMULA_SOURCE_SLOT|FORMULA_EDIT_SLOT|FORMULA_GUIDE_SLOT,100,100,必须包含函数/字段区、编辑区和说明引导,M032|M033|M035,step5,data/module-assets.csv,
module-async-processing-status-panel,module,business_module,异步处理进度模块,TablePage|DetailPage|Modal|Drawer,"异步,处理中,进度,任务,导入结果",任务不会即时完成，需要显示处理进度,同步提交立即完成时禁用,status-panel,assets/content-assets/modules/async-processing/status-panel.html,assets/content-assets/_support/module-support.css,STATUS_SLOT|LOG_SLOT,98,98,必须包含状态、进度、日志或结果入口,M039|M021,step5,data/module-assets.csv,
module-table-header-settings-panel,module,business_module,表头设置模块,TablePage|Drawer|Modal,"表头设置,列设置,显示列,固定列,列排序",用户需要配置表格列显示/固定/排序,非表格页禁用,panel,assets/content-assets/modules/table-header-settings/panel.html,assets/content-assets/_support/module-support.css,COLUMN_SETTING_SLOT,98,98,必须包含显示列、固定列或列排序,M042|M090,step5,data/module-assets.csv,
module-upload-download-basic,module,business_module,上传下载模块,TablePage|CreatePage|SettingsPage,"上传下载,导入,导出,模板,批量导入",需要模板下载、批量导入、结果下载闭环,单纯附件上传时优先 upload-file,basic,assets/content-assets/modules/upload-download/basic.html,assets/content-assets/_support/module-support.css,DOWNLOAD_SLOT|UPLOAD_SLOT|RESULT_SLOT,98,98,必须包含下载模板、上传、结果反馈,M029,step5,data/module-assets.csv,
module-upload-file-basic,module,business_module,上传文件模块,CreatePage|EditPage,"上传,附件,文件上传,拖拽上传",需要提交附件或维护文件,仅下载结果时禁用,basic,assets/content-assets/modules/upload-file/basic.html,assets/content-assets/_support/module-support.css,UPLOAD_SLOT|FILE_LIST_SLOT,98,98,必须包含上传入口和文件列表,M030|M069,step5,data/module-assets.csv,
module.batch-action-footer,module,business_module,批量操作底栏,TablePage,"批量操作,批量导出,批量启用,批量停用,选择成员",列表页已选中多行且需要集中批量动作,仅单行操作或无选择时禁用,basic,assets/content-assets/modules/batch-action-footer.html,assets/content-assets/_support/region-support.css,OVERLAY_OR_PAGE_SLOT,96,96,必须在已选择数据后出现;不得替代表格工具栏,M058|M089|M090,step13,step13/manual-fix,step13 补齐列表页批量闭环
module-approval-flow-mode-selector,module,business_module,审批模式选择模块,SettingsPage|ApprovalPage|CreatePage,"审批模式,逐级审批,指定审批人,条件分支",需求要求配置审批模式或流程规则,只展示审批结果时禁用,mode-selector,assets/content-assets/modules/approval-flow/mode-selector.html,assets/content-assets/_support/module-support.css,APPROVAL_MODE_SLOT,96,96,至少提供 2 种模式且标明适用场景,M037|M038,step5,data/module-assets.csv,
module-filter-config-panel,module,business_module,筛选项配置模块,SettingsPage|Drawer|Modal,"筛选项配置,高级筛选,默认筛选,字段配置",需要配置筛选项显示、顺序或默认值,简单查询表单不需要配置时禁用,panel,assets/content-assets/modules/filter-config/panel.html,assets/content-assets/_support/module-support.css,FILTER_CONFIG_SLOT,96,96,必须包含字段选择、显示状态和保存操作,M041,step5,data/module-assets.csv,
module-descriptions-basic,module,display_module,描述列表模块,DetailPage|Drawer,"描述列表,详情字段,只读信息,基础信息",只读详情字段成组展示,可编辑字段使用表单区域,basic,assets/content-assets/modules/descriptions/basic.html,assets/content-assets/_support/module-support.css,DESCRIPTION_FIELD_SLOT,94,94,必须使用标签和值成对展示,M086,step5,data/module-assets.csv,
module-drag-sort-list,module,business_module,拖拽排序模块,SettingsPage|Modal|Drawer,"拖拽,排序,字段排序,节点排序",需要调整字段/节点/展示项顺序,只有只读列表时禁用,list,assets/content-assets/modules/drag-sort/list.html,assets/content-assets/_support/module-support.css,SORT_ITEM_SLOT,92,92,必须包含拖拽柄、排序项和保存操作,M040,step5,data/module-assets.csv,
module-related-table-basic,module,business_module,关联表模块,DetailPage|ApprovalPage,"关联表,关联数据,关联单据,明细表",详情页需要展示关联对象或明细,主列表页不作为主表格使用,basic,assets/content-assets/modules/related-table/basic.html,assets/content-assets/_support/module-support.css,RELATED_ROW_SLOT,90,90,必须放在详情主体或详情抽屉内,M012|M015|M089,step5,data/module-assets.csv,
module-formula-editor-with-assistant,module,business_module,智能公式助手模块,SettingsPage|CreatePage|EditPage,"智能助手,公式模板,模板推荐,自然语言公式",公式编辑复杂且需要模板/助手辅助,简单公式编辑时可选不用,with-assistant,assets/content-assets/modules/formula-editor/with-assistant.html,assets/content-assets/_support/module-support.css,ASSISTANT_SLOT|TEMPLATE_SLOT,88,88,必须作为公式编辑器的辅助模块，不单独成页,M034|M035,step5,data/module-assets.csv,
module-table-header-filter-dropdown,module,display_module,表头筛选模块,TablePage,"表头筛选,列筛选,表格筛选",表格列需要局部筛选,全局筛选足够时禁用,dropdown,assets/content-assets/modules/table-header-filter/dropdown.html,assets/content-assets/_support/module-support.css,FILTER_OPTION_SLOT,88,88,必须包含筛选项和确认/清空操作,M090,step5,data/module-assets.csv,
module-file-preview-basic,module,display_module,文件预览模块,DetailPage|Drawer|Modal,"文件预览,预览,附件,PDF,图片,Excel",需要在页面内查看文件内容,只下载文件时禁用,basic,assets/content-assets/modules/file-preview/basic.html,assets/content-assets/_support/module-support.css,FILE_LIST_SLOT|PREVIEW_SLOT,86,86,必须包含文件列表和预览区域,M079,step5,data/module-assets.csv,
module-image-crop-panel,module,business_module,图片裁剪模块,Modal|Drawer|CreatePage|EditPage,"图片裁剪,头像,图片处理,裁切",需要上传后裁剪图片,普通图片预览禁用,panel,assets/content-assets/modules/image-crop/panel.html,assets/content-assets/_support/module-support.css,CROP_CANVAS_SLOT|PREVIEW_SLOT,86,86,必须包含裁剪画布、预览和确认操作,M036,step5,data/module-assets.csv,
module-operation-log-basic,module,business_module,操作记录模块,DetailPage|ApprovalPage|Drawer,"操作记录,流转记录,日志,历史记录",需要追踪谁在什么时间做了什么,无历史语义时禁用,basic,assets/content-assets/modules/operation-log/basic.html,assets/content-assets/_support/module-support.css,LOG_ITEM_SLOT,86,86,必须包含时间、操作者、动作,M015|M043,step5,data/module-assets.csv,
module-tree-basic,module,display_module,树形结构模块,SettingsPage|TablePage|Drawer,"树,树形控件,组织树,目录树",层级对象选择或展示,平铺列表足够时禁用,basic,assets/content-assets/modules/tree/basic.html,assets/content-assets/_support/module-support.css,TREE_NODE_SLOT,84,84,必须体现层级和当前选中项,M084|M074,step5,data/module-assets.csv,
module-collapse-basic,module,display_module,折叠面板模块,DetailPage|SettingsPage|CreatePage,"折叠面板,收起,展开,分组信息",信息分组较多，需要降低首屏压力,少量信息不使用折叠,basic,assets/content-assets/modules/collapse/basic.html,assets/content-assets/_support/module-support.css,COLLAPSE_ITEM_SLOT,82,82,必须包含展开态和收起态,M085,step5,data/module-assets.csv,
module-fullscreen-entry,module,business_module,全屏工作区模块,TablePage|SettingsPage|ReportPage,"全屏,沉浸,大屏,全屏编辑",需要沉浸处理复杂配置或报表,普通详情查看不应默认全屏,entry,assets/content-assets/modules/fullscreen/entry.html,assets/content-assets/_support/module-support.css,FULLSCREEN_CONTENT_SLOT,82,82,必须包含退出全屏操作,M031,step5,data/module-assets.csv,
ST_LOADING_SPIN,state,loading,ST_LOADING_SPIN,All,"加载中,等待,处理中",短时加载或局部刷新,不用于首屏长加载,spin,assets/content-assets/states/loading/spin.html,assets/content-assets/_support/feedback-support.css,CONTENT_SLOT | REGION_SLOT,3,3,用于短时等待；长加载优先 skeleton,,step6,data/feedback-state-overlay-assets.csv,
ST_EMPTY_BASIC,state,empty,ST_EMPTY_BASIC,TablePage | DetailPage | FormPage | SettingsPage,"空状态,暂无数据,没有结果",内容为空且需要说明下一步,不用于加载中,basic,assets/content-assets/states/empty/basic.html,assets/content-assets/_support/feedback-support.css,CONTENT_SLOT | TABLE_BODY_SLOT,2,2,必须有标题；可选主操作；不得只显示图形,,step6,data/feedback-state-overlay-assets.csv,
ST_LOADING_SKELETON,state,loading,ST_LOADING_SKELETON,TablePage | DetailPage | FormPage,"骨架屏,加载占位,首屏加载",首屏或列表区域加载,不用于按钮内加载,skeleton,assets/content-assets/states/loading/skeleton.html,assets/content-assets/_support/feedback-support.css,CONTENT_SLOT | CARD_BODY_SLOT,2,2,结构应贴近最终内容；不得与 spin 同时出现,,step6,data/feedback-state-overlay-assets.csv,
ST_PROGRESS_BASIC,state,progress,ST_PROGRESS_BASIC,All,"进度,上传进度,处理进度,任务进度",可量化任务进度,不用于未知时长等待,basic,assets/content-assets/states/progress/basic.html,assets/content-assets/_support/feedback-support.css,MODULE_SLOT | REGION_SLOT,2,2,必须显示当前进度语义；未知进度用 spin,,step6,data/feedback-state-overlay-assets.csv,
ST_RESULT_ERROR,state,result,ST_RESULT_ERROR,ResultPage | FullPage | Overlay,"失败结果,提交失败,错误页",流程失败且需要修正/重试,不用于字段级错误,error,assets/content-assets/states/result/error.html,assets/content-assets/_support/feedback-support.css,CONTENT_SLOT,2,2,必须说明失败原因或下一步处理路径,,step6,data/feedback-state-overlay-assets.csv,
ST_RESULT_SUCCESS,state,result,ST_RESULT_SUCCESS,ResultPage | FullPage | Overlay,"成功结果,提交成功,完成",流程结束且需要下一步引导,不用于普通 toast,success,assets/content-assets/states/result/success.html,assets/content-assets/_support/feedback-support.css,CONTENT_SLOT,2,2,必须提供返回或查看后续动作,,step6,data/feedback-state-overlay-assets.csv,
OV_DRAWER_BASIC,overlay,drawer,OV_DRAWER_BASIC,Page Overlay | Full Page,"抽屉,右侧详情,复杂配置,保留上下文",需要保留列表上下文的详情或配置,不用于短确认,basic,assets/content-assets/overlays/drawer/basic.html,assets/content-assets/_support/feedback-support.css,OVERLAY_SLOT,1,1,必须从页面右侧进入；内容较长可滚动,,step6,data/feedback-state-overlay-assets.csv,
overlay.detail-drawer,overlay,drawer,详情抽屉,TablePage|DetailPage|Page Overlay,"详情抽屉,右侧详情,查看详情,成员详情,抽屉详情",需要保留当前列表或详情上下文并在右侧展开对象信息,短确认或纯编辑弹窗不用,detail,assets/content-assets/overlays/detail-drawer.html,assets/content-assets/_support/feedback-support.css,OVERLAY_SLOT,95,95,必须挂载到 OVERLAY_SLOT;不得插入 page-content 内,M012|M015|M086,step13,step13/manual-fix,step13 补齐列表页详情抽屉
OV_MODAL_CONFIRM,overlay,confirm-modal,OV_MODAL_CONFIRM,Page Overlay | Full Page,"确认,删除,撤销,作废,高风险",高风险动作二次确认,不用于普通提示,confirm,assets/content-assets/overlays/modal/confirm.html,assets/content-assets/_support/feedback-support.css,OVERLAY_SLOT,1,1,必须有明确风险文案和取消/确认两个动作,,step6,data/feedback-state-overlay-assets.csv,
OV_MODAL_FUNCTIONAL,overlay,modal,OV_MODAL_FUNCTIONAL,Page Overlay | Full Page,"弹窗,短流程,编辑,新增,信息补充",短流程表单或简单编辑,不用于长内容和复杂配置,functional,assets/content-assets/overlays/modal/functional.html,assets/content-assets/_support/feedback-support.css,OVERLAY_SLOT,1,1,必须挂载到 overlay-root；不得插入 page-content 内,,step6,data/feedback-state-overlay-assets.csv,
region.form-summary-card.basic,region,form_region,表单摘要卡,CreatePage|EditPage|SettingsPage,"摘要,说明,填写说明,生效范围,提交校验",复杂表单需要在录入前给出范围和约束说明,简单短表单可不使用,basic,assets/content-assets/regions/form-region/summary-card.html,assets/content-assets/_support/region-support.css,PAGE_CONTENT_SLOT,90,90,必须包含范围/角色/校验中的至少两类信息,,recipe-gap,data/manual,
module-dynamic-form-list-basic,module,business_module,动态表单明细模块,CreatePage|EditPage|Modal,"动态字段,动态明细,批量录入,增减行,明细录入",表单内需要录入可增减的重复条目,固定字段表单禁用,basic,assets/content-assets/modules/dynamic-form-list/basic.html,assets/content-assets/_support/module-support.css,PAGE_CONTENT_SLOT,90,90,必须包含新增行入口和行级删除动作,,recipe-gap,data/manual,
module-tab-panel-basic,module,display_module,基础标签面板模块,DetailPage|SettingsPage,"基础标签,tab面板,标签内容,概览面板",标签页内需要承载概览信息,单区详情页可不使用,basic,assets/content-assets/modules/tab-panels/basic.html,assets/content-assets/_support/module-support.css,PAGE_CONTENT_SLOT,88,88,必须作为 tabs 对应内容区的一部分，不独立成页,,recipe-gap,data/manual,
module-tab-panel-detail,module,business_module,详情标签面板模块,DetailPage,"详情标签,详细说明,补充信息,tab详情",标签页内需要承载详细说明和影响说明,只看表格时可不使用,detail,assets/content-assets/modules/tab-panels/detail.html,assets/content-assets/_support/module-support.css,PAGE_CONTENT_SLOT,86,86,必须包含至少一个详情分组,,recipe-gap,data/manual,
module-tab-panel-log,module,business_module,日志标签面板模块,DetailPage|ApprovalPage,"日志标签,操作记录,流转记录,tab日志",标签页内需要查看操作日志或流转记录,无日志语义时禁用,log,assets/content-assets/modules/tab-panels/log.html,assets/content-assets/_support/module-support.css,PAGE_CONTENT_SLOT,86,86,必须包含时间、操作者和动作,,recipe-gap,data/manual,
module-tab-panel-table,module,business_module,表格标签面板模块,DetailPage|TablePage,"表格标签,关联表,明细表,tab表格",标签页内需要承载关联明细表,无明细数据时禁用,table,assets/content-assets/modules/tab-panels/table.html,assets/content-assets/_support/module-support.css,PAGE_CONTENT_SLOT,88,88,必须包含表头和至少一行数据,,recipe-gap,data/manual,
region.editable-table.basic,region,table_region,可编辑表格区,TablePage|EditPage,"可编辑表格,编辑表格,行内编辑,表格录入,保存表格",需要在表格内直接录入或修改字段,纯只读表格禁用,basic,assets/content-assets/regions/table-region/editable.html,assets/content-assets/_support/region-support.css,PAGE_CONTENT_SLOT,94,94,必须包含可编辑控件和行级保存/删除操作;不可退化成只读表格,,semantic-refactor,data/manual,
region.form-section.horizontal,region,form_region,左右对齐表单区域,CreatePage|EditPage,"横向表单,左右表单,标签对齐,基础录入,编辑资料",字段数量适中且强调标签对齐阅读,复杂多分组表单优先 multi-section,horizontal,assets/content-assets/regions/form-region/horizontal.html,assets/content-assets/_support/region-support.css,PAGE_CONTENT_SLOT,93,93,标签列宽需稳定;控件区可自适应;不要退化成多段卡片,,semantic-refactor,data/manual,
module.config-editor-panel,module,business_module,配置编辑器面板,SettingsPage|EditPage|Drawer,"配置编辑,配置面板,规则配置,字段配置,预览保存",需要集中编辑配置并同时查看预览或影响说明,简单设置项禁用,panel,assets/content-assets/modules/config-editor/panel.html,assets/content-assets/_support/module-support.css,PAGE_CONTENT_SLOT,92,92,必须包含编辑区和预览/说明区;保存操作明确,,semantic-refactor,data/manual,
region.home-task-panel.basic,region,home_region,首页待办面板,HomePage|BusinessHomePage,"待办,任务,待处理,首页任务,待办事项",首页需要承载任务列表和处理入口,纯统计概览禁用,basic,assets/content-assets/regions/home-region/task-panel.html,assets/content-assets/_support/region-support.css,PAGE_CONTENT_SLOT,89,89,必须包含任务标题和状态;不应退化成空卡片,,semantic-refactor,data/manual,
region.quick-entry-grid.basic,region,home_region,快捷入口网格,HomePage|BusinessHomePage,"快捷入口,快速操作,常用入口,首页入口",首页需要承载高频快捷动作,详情页和设置页禁用,basic,assets/content-assets/regions/home-region/quick-entry-grid.html,assets/content-assets/_support/region-support.css,PAGE_CONTENT_SLOT,88,88,入口数量保持 4-6 个;文案必须是可执行动作,,semantic-refactor,data/manual,
region.business-section-grid.basic,region,home_region,业务栏目网格,BusinessHomePage,"业务栏目,业务模块,门户栏目,业务导航",业务首页需要承载业务分区和说明,普通工作台禁用,basic,assets/content-assets/regions/home-region/business-section-grid.html,assets/content-assets/_support/region-support.css,PAGE_CONTENT_SLOT,88,88,每个栏目需有标题和说明;避免退化成普通按钮组,,semantic-refactor,data/manual,
