recipe_id,page_type,recipe_name,source_materials,keywords,default_region_order,required_regions,optional_modules,forbidden_patterns,slot_output,priority,validation
recipe.detail.basic.vertical,DetailPage,详情页上下布局,"详情页-上下布局.png;描述列表 Descriptions.png","详情,查看,单据详情,上下布局","page-header>detail-summary>detail-section-stack","page-header;detail-summary;detail-section-stack","approval-flow;attachment-list;operation-log;related-table","不得把所有信息塞进单张大表;不得缺少返回/主操作",PAGE_CONTENT_SLOT,100,"摘要区优先展示状态和关键字段;信息区分组清晰"
recipe.detail.basic.horizontal,DetailPage,详情页基础左右布局,"详情页-基础样式-左右布局.png;描述列表 Descriptions.png","详情,左右布局,基础信息,对象详情","page-header>detail-two-column-layout","page-header;detail-two-column-layout","side-operation-panel;approval-flow;operation-log","不得让右侧操作区打断左侧阅读;不得左右区权重失衡",PAGE_CONTENT_SLOT,85,"左侧主信息;右侧状态/操作/辅助信息;操作锚点稳定"
recipe.detail.table.horizontal,DetailPage,详情页表格左右布局,"详情页-表格样式-左右布局.png;表格 Table.png;描述列表 Descriptions.png","详情,关联表,明细表,左右布局","page-header>detail-two-column-layout>related-table-section","page-header;detail-two-column-layout;related-table-section","approval-flow;attachment-list;operation-log","不得把关联表藏进过深折叠;不得让详情与明细断裂",PAGE_CONTENT_SLOT,80,"基础信息与关联表层级清晰;表格区有标题"
recipe.detail.edit,EditPage,编辑页,"编辑页.png;表单 Form.png;详情页-基础样式-左右布局.png","编辑,修改,维护,回填","page-header>edit-form-card>form-footer-actions","page-header;edit-form-card;form-footer-actions","readonly-summary;attachment-upload;confirm-modal","不得与详情页样式混用导致不可编辑状态不清;不得无取消动作",PAGE_CONTENT_SLOT,85,"可编辑字段与只读字段区分;保存/取消动作明确"
recipe.settings.basic,SettingsPage,设置页,"设置页 (1).png;锚点 Anchor.png;开关 Switch.png","设置,配置,参数,权限,偏好","page-header>settings-layout-left-anchor-right-sections","page-header;settings-anchor;settings-section;setting-item","confirm-modal;drawer-config;status-tag","不得把设置项做成普通表格;不得缺少生效范围说明",PAGE_CONTENT_SLOT,100,"每个设置项包含标题/说明/状态或操作;左侧锚点与右侧分组对应"
recipe.home.basic,HomePage,首页,"首页.png;业务首页.png","首页,工作台,概览,待办,快捷入口","page-header>overview-cards>task-panel>quick-entry-grid>activity-list","page-header;overview-cards;task-panel;quick-entry-grid","chart-block;announcement-list;business-metrics","不得变成营销落地页;不得只有指标没有任务入口",PAGE_CONTENT_SLOT,80,"首屏展示待办/指标/快捷入口;业务入口优先于装饰"
recipe.home.business,BusinessHomePage,业务首页,"业务首页.png;首页.png","业务首页,运营首页,门户,工作台","page-header>business-overview>business-section-grid>case-or-resource-list","page-header;business-overview;business-section-grid","announcement-list;resource-card-list;ranking-list","不得过度仪表盘化;不得弱化业务路径",PAGE_CONTENT_SLOT,75,"栏目清晰;入口可达;信息与行动闭环"
recipe.result.success,ResultPage,成功结果页,"结果 Result.png;结果页;success","成功,提交成功,操作完成,下一步","blank-or-admin-shell>result-card>next-actions","result-card;next-actions","detail-link;continue-action","不得只给成功文案无后续操作",CONTENT_SLOT,70,"结果状态明确;至少给返回/查看/继续操作之一"
recipe.result.fail,ResultPage,失败结果页,"结果 Result.png;fail","失败,提交失败,错误,重试","blank-or-admin-shell>result-card>error-reason>next-actions","result-card;error-reason;next-actions","help-link;retry-action","不得只提示失败不说明处理路径",CONTENT_SLOT,70,"失败原因和下一步处理路径明确"
recipe.exception.basic,ErrorPage,异常页,"403;404;500;异常;结果 Result.png","403,404,500,无权限,页面不存在,服务器错误","blank-shell>exception-card>primary-action","exception-card;primary-action","secondary-action;help-link","不得生成完整后台业务内容;不得混用业务页面结构",CONTENT_SLOT,70,"状态码/原因/操作路径完整"
recipe.workflow.detail,DetailPage,审批详情页,"审批流.png;审批流与审批模式.png;详情页-上下布局.png","审批,流程,审批详情,待办,流转","page-header>detail-summary>approval-flow>detail-section-stack>operation-log","page-header;detail-summary;approval-flow;detail-section-stack","attachment-list;related-table;approval-actions","不得把审批流当普通步骤条;不得缺少当前节点/历史节点区分",PAGE_CONTENT_SLOT,95,"审批状态突出;流程节点、操作记录、业务详情分层"
recipe.complex.config,SettingsPage,复杂配置页,"筛选项配置.png;表头设置.png;公式编辑器设计模式.png;抽屉 Drawer.png","配置,字段配置,表头设置,筛选项配置,公式编辑","page-header>config-layout>config-list-or-tree>config-editor-panel","page-header;config-layout;config-editor-panel","preview-panel;drawer-config;formula-editor;sortable-list","不得直接用普通表单承载复杂配置;不得缺少预览/保存",PAGE_CONTENT_SLOT,85,"左侧选择/列表;右侧编辑;保存和预览路径清晰"
