material_id,source_path,material_category,material_name,asset_layer,step4_status,step4_region_assets,next_handling
M057,场景/按钮规则/Header页面头部区域按钮位置.png,按钮规则,Header页面头部区域按钮位置,component_combo_rule,used_in_step4_region_assets,region.page-header.basic;region.page-header.with-actions;region.page-header.with-back,后续装配时可读取对应 HTML 片段
M058,场景/按钮规则/Toolbar 操作工具区按钮位置.png,按钮规则,Toolbar 操作工具区按钮位置,component_combo_rule,used_in_step4_region_assets,region.filter-bar.basic;region.filter-bar.advanced-expand;region.filter-bar.compact-inline;region.table-toolbar.basic;region.table-toolbar.with-column-settings;region.data-table.with-selection-summary,后续装配时可读取对应 HTML 片段
M059,场景/按钮规则/勾选和开关按钮的使用规则.png,按钮规则,勾选和开关按钮的使用规则,interaction_rule,not_converted_in_step4,,第6或第7步转组件组合/规则/HTML
M060,场景/按钮规则/按钮使用原则.png,按钮规则,按钮使用原则,interaction_rule,used_in_step4_region_assets,region.page-header.with-actions;region.table-toolbar.basic;region.form-footer-actions.sticky;region.setting-section.basic,后续装配时可读取对应 HTML 片段
M061,场景/按钮规则/禁用态探索.png,按钮规则,禁用态探索,interaction_rule,not_converted_in_step4,,第6或第7步转组件组合/规则/HTML
M062,场景/按钮规则/禁用按钮使用规则.png,按钮规则,禁用按钮使用规则,interaction_rule,not_converted_in_step4,,第6或第7步转组件组合/规则/HTML
M063,场景/按钮规则/链接按钮使用规则.png,按钮规则,链接按钮使用规则,interaction_rule,used_in_step4_region_assets,region.table-toolbar.basic,后续装配时可读取对应 HTML 片段
M064,场景/数据 录入/Input 输入框.png,数据录入,Input 输入框,component_combo,used_in_step4_region_assets,region.filter-bar.basic;region.filter-bar.advanced-expand;region.filter-bar.compact-inline;region.form-section.basic,后续装配时可读取对应 HTML 片段
M065,场景/数据 录入/InputNumber 数字输入框.png,数据录入,InputNumber 数字输入框,component_combo,not_converted_in_step4,,第6或第7步转组件组合/规则/HTML
M066,场景/数据 录入/Radio 单选框.png,数据录入,Radio 单选框,component_combo,not_converted_in_step4,,第6或第7步转组件组合/规则/HTML
M067,场景/数据 录入/Select 选择器.png,数据录入,Select 选择器,component_combo,used_in_step4_region_assets,region.filter-bar.basic;region.filter-bar.advanced-expand;region.filter-bar.compact-inline;region.form-section.basic,后续装配时可读取对应 HTML 片段
M068,场景/数据 录入/Sidebar Contents 分栏目录.png,数据录入,Sidebar Contents 分栏目录,component_combo,used_in_step4_region_assets,region.settings-layout.anchor;region.anchor.basic,后续装配时可读取对应 HTML 片段
M069,场景/数据 录入/上传 Upload.png,数据录入,上传 Upload,component_combo,not_converted_in_step4,,第6或第7步转组件组合/规则/HTML
M070,场景/数据 录入/多选 Checkbox (1).png,数据录入,多选 Checkbox (1),component_combo,not_converted_in_step4,,第6或第7步转组件组合/规则/HTML
M071,场景/数据 录入/开关 Switch.png,数据录入,开关 Switch,component_combo,used_in_step4_region_assets,region.setting-section.basic,后续装配时可读取对应 HTML 片段
M072,场景/数据 录入/日期时间选择器 DatePicker.png,数据录入,日期时间选择器 DatePicker,component_combo,used_in_step4_region_assets,region.filter-bar.basic;region.filter-bar.advanced-expand,后续装配时可读取对应 HTML 片段
M073,场景/数据 录入/日期时间选择器 TimePicker.png,数据录入,日期时间选择器 TimePicker,component_combo,not_converted_in_step4,,第6或第7步转组件组合/规则/HTML
M074,场景/数据 录入/树选择 TreeSelect.png,数据录入,树选择 TreeSelect,component_combo,used_in_step4_region_assets,region.filter-bar.advanced-expand,后续装配时可读取对应 HTML 片段
M075,场景/数据 录入/级联选择 Cascader (1).png,数据录入,级联选择 Cascader (1),component_combo,used_in_step4_region_assets,region.filter-bar.advanced-expand,后续装配时可读取对应 HTML 片段
M076,场景/数据 录入/表单 Form.png,数据录入,表单 Form,form_region,used_in_step4_region_assets,region.form-section.basic;region.form-section.multi-section,后续装配时可读取对应 HTML 片段
M077,场景/数据展示/Badge 徽标.png,数据展示,Badge 徽标,display_component_combo,not_converted_in_step4,,第6或第7步转组件组合/规则/HTML
M078,场景/数据展示/Empty 空状态.png,数据展示,Empty 空状态,state_asset,not_converted_in_step4,,第6步转状态/反馈/覆盖层资产
M079,场景/数据展示/FilePreview 文件预览.png,数据展示,FilePreview 文件预览,display_module,not_converted_in_step4,,第5步转模块资产
M080,场景/数据展示/Image 图片.png,数据展示,Image 图片,display_component_combo,used_in_step4_region_assets,region.card-grid.basic,后续装配时可读取对应 HTML 片段
M081,场景/数据展示/Segmented 分段控制器.png,数据展示,Segmented 分段控制器,display_component_combo,used_in_step4_region_assets,region.tabs.basic,后续装配时可读取对应 HTML 片段
M082,场景/数据展示/Tag 标签.png,数据展示,Tag 标签,display_component_combo,used_in_step4_region_assets,region.card-grid.basic,后续装配时可读取对应 HTML 片段
M083,场景/数据展示/Tour 漫游式引导.png,数据展示,Tour 漫游式引导,display_component_combo,not_converted_in_step4,,第6或第7步转组件组合/规则/HTML
M084,场景/数据展示/Tree 树形控件.png,数据展示,Tree 树形控件,display_module,used_in_step4_region_assets,region.split-layout.master-detail,后续装配时可读取对应 HTML 片段
M085,场景/数据展示/折叠面板 Collapse.png,数据展示,折叠面板 Collapse,display_module,not_converted_in_step4,,第5步转模块资产
M086,场景/数据展示/描述列表 Descriptions.png,数据展示,描述列表 Descriptions,display_module,used_in_step4_region_assets,region.detail-summary.basic;region.detail-info-section.basic;region.detail-side-layout.basic,后续装配时可读取对应 HTML 片段
M087,场景/数据展示/文字提示 Tooltip.png,数据展示,文字提示 Tooltip,display_component_combo,not_converted_in_step4,,第6或第7步转组件组合/规则/HTML
M088,场景/数据展示/气泡卡片  Popover.png,数据展示,气泡卡片  Popover,display_component_combo,not_converted_in_step4,,第6或第7步转组件组合/规则/HTML
M089,场景/数据展示/表格 Table.png,数据展示,表格 Table,display_module,used_in_step4_region_assets,region.table-toolbar.with-column-settings;region.data-table.basic;region.data-table.with-selection-summary,后续装配时可读取对应 HTML 片段
M090,场景/数据展示/表格-表头筛选.png,数据展示,表格-表头筛选,display_module,used_in_step4_region_assets,region.table-toolbar.with-column-settings;region.data-table.basic;region.data-table.with-selection-summary,后续装配时可读取对应 HTML 片段
M091,场景/数据展示/走马灯 Carousel.png,数据展示,走马灯 Carousel,display_component_combo,used_in_step4_region_assets,region.card-grid.basic,后续装配时可读取对应 HTML 片段
