material_id,material_name,mapped_region_assets,conversion_status,next_step
M020,Popconfirm 气泡确认框,,reserved_for_state_or_overlay_conversion,第 6 步状态/反馈/覆盖层资产
M021,Progress 进度条,,reserved_for_state_or_overlay_conversion,第 6 步状态/反馈/覆盖层资产
M022,Skeleton 骨架屏,,reserved_for_state_or_overlay_conversion,第 6 步状态/反馈/覆盖层资产
M023,Spin 加载中,,reserved_for_state_or_overlay_conversion,第 6 步状态/反馈/覆盖层资产
M024,功能类对话框 Modal,,reserved_for_state_or_overlay_conversion,第 6 步状态/反馈/覆盖层资产
M025,抽屉 Drawer,,reserved_for_state_or_overlay_conversion,第 6 步状态/反馈/覆盖层资产
M026,确认类对话框 Modal,,reserved_for_state_or_overlay_conversion,第 6 步状态/反馈/覆盖层资产
M027,结果 Result,region.result.success;region.result.exception,converted_as_region_reference,可在第 7 步纳入最终 HTML 资产包
M028,通知提醒框 Notification,,reserved_for_state_or_overlay_conversion,第 6 步状态/反馈/覆盖层资产
M029,上传下载,,reserved_for_module_conversion,第 5 步模块资产
M030,上传文件,,reserved_for_module_conversion,第 5 步模块资产
M031,全屏,,reserved_for_module_conversion,第 5 步模块资产
M032,1、功能区域,,reserved_for_module_conversion,第 5 步模块资产
M033,2、公式编辑区域+说明引导,,reserved_for_module_conversion,第 5 步模块资产
M034,3、智能小助手+模板,,reserved_for_module_conversion,第 5 步模块资产
M035,公式编辑器设计模式,,reserved_for_module_conversion,第 5 步模块资产
M036,图片裁剪,,reserved_for_module_conversion,第 5 步模块资产
M037,审批流与审批模式 (1),,reserved_for_module_conversion,第 5 步模块资产
M038,审批流与审批模式,,reserved_for_module_conversion,第 5 步模块资产
M039,异步处理,,reserved_for_module_conversion,第 5 步模块资产
M040,拖拽排序,,reserved_for_module_conversion,第 5 步模块资产
M041,筛选项配置,region.filter-bar.basic;region.filter-bar.advanced-expand,converted_as_region_reference,可在第 7 步纳入最终 HTML 资产包
M042,表头设置,region.table-toolbar.with-column-settings,converted_as_region_reference,可在第 7 步纳入最终 HTML 资产包
M043,审批流,,reserved_for_module_conversion,第 5 步模块资产
M044,web端-多页签,,reserved_for_shell_navigation_rule,后续 SKILL 工作流和壳子规则
M045,下拉菜单 Dropdown,,listed_not_converted_this_step,后续步骤
M046,侧边导航,,reserved_for_shell_navigation_rule,后续 SKILL 工作流和壳子规则
M047,分页 Pagination,region.pagination.basic,converted_as_region_reference,可在第 7 步纳入最终 HTML 资产包
M048,标签页 Tabs,region.tabs.basic,converted_as_region_reference,可在第 7 步纳入最终 HTML 资产包
M049,步骤条 Steps,region.step-indicator.basic,converted_as_region_reference,可在第 7 步纳入最终 HTML 资产包
M050,胶囊选项卡 CapsuleTabs ,region.tabs.basic,converted_as_region_reference,可在第 7 步纳入最终 HTML 资产包
M051,返回按钮 ReturnButton ,region.page-header.with-back,converted_as_region_reference,可在第 7 步纳入最终 HTML 资产包
M052,锚点 Anchor,region.detail-side-layout.basic;region.settings-layout.anchor;region.anchor.basic,converted_as_region_reference,可在第 7 步纳入最终 HTML 资产包
M053,顶部导航 AppNav,,reserved_for_shell_navigation_rule,后续 SKILL 工作流和壳子规则
M054,Body 内容区按钮位置,region.page-header.with-actions;region.setting-section.basic,converted_as_region_reference,可在第 7 步纳入最终 HTML 资产包
M055,Button 按钮,,reserved_for_component_combo_or_rule,第 6/7 步组件组合与规则补齐
M056,Footer 页面底部区按钮位置,region.form-footer-actions.sticky,converted_as_region_reference,可在第 7 步纳入最终 HTML 资产包
M057,Header页面头部区域按钮位置,region.page-header.basic;region.page-header.with-actions;region.page-header.with-back,converted_as_region_reference,可在第 7 步纳入最终 HTML 资产包
M058,Toolbar 操作工具区按钮位置,region.filter-bar.basic;region.filter-bar.advanced-expand;region.filter-bar.compact-inline;region.table-toolbar.basic;region.table-toolbar.with-column-settings;region.data-table.with-selection-summary,converted_as_region_reference,可在第 7 步纳入最终 HTML 资产包
M059,勾选和开关按钮的使用规则,,reserved_for_component_combo_or_rule,第 6/7 步组件组合与规则补齐
M060,按钮使用原则,region.page-header.with-actions;region.table-toolbar.basic;region.form-footer-actions.sticky;region.setting-section.basic,converted_as_region_reference,可在第 7 步纳入最终 HTML 资产包
M061,禁用态探索,,reserved_for_component_combo_or_rule,第 6/7 步组件组合与规则补齐
M062,禁用按钮使用规则,,reserved_for_component_combo_or_rule,第 6/7 步组件组合与规则补齐
M063,链接按钮使用规则,region.table-toolbar.basic,converted_as_region_reference,可在第 7 步纳入最终 HTML 资产包
M064,Input 输入框,region.filter-bar.basic;region.filter-bar.advanced-expand;region.filter-bar.compact-inline;region.form-section.basic,converted_as_region_reference,可在第 7 步纳入最终 HTML 资产包
M065,InputNumber 数字输入框,,reserved_for_component_combo_or_rule,第 6/7 步组件组合与规则补齐
M066,Radio 单选框,,reserved_for_component_combo_or_rule,第 6/7 步组件组合与规则补齐
M067,Select 选择器,region.filter-bar.basic;region.filter-bar.advanced-expand;region.filter-bar.compact-inline;region.form-section.basic,converted_as_region_reference,可在第 7 步纳入最终 HTML 资产包
M068,Sidebar Contents 分栏目录,region.settings-layout.anchor;region.anchor.basic,converted_as_region_reference,可在第 7 步纳入最终 HTML 资产包
M069,上传 Upload,,reserved_for_component_combo_or_rule,第 6/7 步组件组合与规则补齐
M070,多选 Checkbox (1),,reserved_for_component_combo_or_rule,第 6/7 步组件组合与规则补齐
M071,开关 Switch,region.setting-section.basic,converted_as_region_reference,可在第 7 步纳入最终 HTML 资产包
M072,日期时间选择器 DatePicker,region.filter-bar.basic;region.filter-bar.advanced-expand,converted_as_region_reference,可在第 7 步纳入最终 HTML 资产包
M073,日期时间选择器 TimePicker,,reserved_for_component_combo_or_rule,第 6/7 步组件组合与规则补齐
M074,树选择 TreeSelect,region.filter-bar.advanced-expand,converted_as_region_reference,可在第 7 步纳入最终 HTML 资产包
M075,级联选择 Cascader (1),region.filter-bar.advanced-expand,converted_as_region_reference,可在第 7 步纳入最终 HTML 资产包
M076,表单 Form,region.form-section.basic;region.form-section.multi-section,converted_as_region_reference,可在第 7 步纳入最终 HTML 资产包
M077,Badge 徽标,,reserved_for_component_combo_or_rule,第 6/7 步组件组合与规则补齐
M078,Empty 空状态,,reserved_for_state_or_overlay_conversion,第 6 步状态/反馈/覆盖层资产
M079,FilePreview 文件预览,,reserved_for_module_conversion,第 5 步模块资产
M080,Image 图片,region.card-grid.basic,converted_as_region_reference,可在第 7 步纳入最终 HTML 资产包
M081,Segmented 分段控制器,region.tabs.basic,converted_as_region_reference,可在第 7 步纳入最终 HTML 资产包
M082,Tag 标签,region.card-grid.basic,converted_as_region_reference,可在第 7 步纳入最终 HTML 资产包
M083,Tour 漫游式引导,,reserved_for_component_combo_or_rule,第 6/7 步组件组合与规则补齐
M084,Tree 树形控件,region.split-layout.master-detail,converted_as_region_reference,可在第 7 步纳入最终 HTML 资产包
M085,折叠面板 Collapse,,reserved_for_module_conversion,第 5 步模块资产
M086,描述列表 Descriptions,region.detail-summary.basic;region.detail-info-section.basic;region.detail-side-layout.basic,converted_as_region_reference,可在第 7 步纳入最终 HTML 资产包
M087,文字提示 Tooltip,,reserved_for_component_combo_or_rule,第 6/7 步组件组合与规则补齐
M088,气泡卡片  Popover,,reserved_for_component_combo_or_rule,第 6/7 步组件组合与规则补齐
M089,表格 Table,region.table-toolbar.with-column-settings;region.data-table.basic;region.data-table.with-selection-summary,converted_as_region_reference,可在第 7 步纳入最终 HTML 资产包
M090,表格-表头筛选,region.table-toolbar.with-column-settings;region.data-table.basic;region.data-table.with-selection-summary,converted_as_region_reference,可在第 7 步纳入最终 HTML 资产包
M091,走马灯 Carousel,region.card-grid.basic,converted_as_region_reference,可在第 7 步纳入最终 HTML 资产包
