material_id,source_path,material_category,material_name,asset_layer,step5_status,target_asset_id,note
M011,场景/典型页面 2/详情/编辑页.png,典型页面,编辑页,page_recipe,covered_in_step3_page_recipe,edit-page,页面配方已在第3步处理，模块转化时仅引用其组合关系
M012,场景/典型页面 2/详情/详情页-上下布局.png,典型页面,详情页-上下布局,page_recipe,converted_in_step5,module-related-table-basic,已转成模块资产或模块辅助资产
M013,场景/典型页面 2/详情/详情页-基础样式-左右布局.png,典型页面,详情页-基础样式-左右布局,page_recipe,covered_in_step3_page_recipe,detail-page-basic-side-layout,页面配方已在第3步处理，模块转化时仅引用其组合关系
M014,场景/典型页面 2/详情/详情页-表格样式-左右布局.png,典型页面,详情页-表格样式-左右布局,page_recipe,covered_in_step3_page_recipe,detail-page-table-side-layout,页面配方已在第3步处理，模块转化时仅引用其组合关系
M015,场景/典型页面 2/配置页面/设置页 (1).png,典型页面,设置页 (1),page_recipe,converted_in_step5,module-related-table-basic|module-operation-log-basic,已转成模块资产或模块辅助资产
M016,场景/典型页面 2/首页/业务首页.png,典型页面,业务首页,page_recipe,covered_in_step3_page_recipe,business-home-page,页面配方已在第3步处理，模块转化时仅引用其组合关系
M017,场景/典型页面 2/首页/首页.png,典型页面,首页,page_recipe,covered_in_step3_page_recipe,home-page,页面配方已在第3步处理，模块转化时仅引用其组合关系
M018,场景/反馈/Alert 警告提示.png,反馈,Alert 警告提示,feedback_rule_asset,deferred_step6_feedback_state_overlay,alert,反馈、状态、覆盖层统一在第6步转化
M019,场景/反馈/Message 全局提示.png,反馈,Message 全局提示,feedback_rule_asset,deferred_step6_feedback_state_overlay,message,反馈、状态、覆盖层统一在第6步转化
M020,场景/反馈/Popconfirm 气泡确认框.png,反馈,Popconfirm 气泡确认框,overlay_asset,deferred_step6_feedback_state_overlay,popconfirm,反馈、状态、覆盖层统一在第6步转化
M021,场景/反馈/Progress 进度条.png,反馈,Progress 进度条,state_asset,converted_in_step5,module-async-processing-status-panel,已转成模块资产或模块辅助资产
M022,场景/反馈/Skeleton 骨架屏.png,反馈,Skeleton 骨架屏,state_asset,deferred_step6_feedback_state_overlay,skeleton,反馈、状态、覆盖层统一在第6步转化
M023,场景/反馈/Spin 加载中.png,反馈,Spin 加载中,state_asset,deferred_step6_feedback_state_overlay,spin,反馈、状态、覆盖层统一在第6步转化
M024,场景/反馈/功能类对话框 Modal.png,反馈,功能类对话框 Modal,overlay_asset,deferred_step6_feedback_state_overlay,functional-modal,反馈、状态、覆盖层统一在第6步转化
M025,场景/反馈/抽屉 Drawer.png,反馈,抽屉 Drawer,overlay_asset,deferred_step6_feedback_state_overlay,drawer,反馈、状态、覆盖层统一在第6步转化
M026,场景/反馈/确认类对话框 Modal.png,反馈,确认类对话框 Modal,overlay_asset,deferred_step6_feedback_state_overlay,confirm-modal,反馈、状态、覆盖层统一在第6步转化
M027,场景/反馈/结果 Result.png,反馈,结果 Result,state_asset,deferred_step6_feedback_state_overlay,result,反馈、状态、覆盖层统一在第6步转化
M028,场景/反馈/通知提醒框 Notification.png,反馈,通知提醒框 Notification,feedback_rule_asset,deferred_step6_feedback_state_overlay,notification,反馈、状态、覆盖层统一在第6步转化
M029,场景/场景/上传下载.png,复杂场景,上传下载,business_module,converted_in_step5,module-upload-download-basic,已转成模块资产或模块辅助资产
M030,场景/场景/上传文件.png,复杂场景,上传文件,business_module,converted_in_step5,module-upload-file-basic,已转成模块资产或模块辅助资产
M031,场景/场景/全屏.png,复杂场景,全屏,business_module,converted_in_step5,module-fullscreen-entry,已转成模块资产或模块辅助资产
M032,场景/场景/公式编辑器/1、功能区域.png,复杂场景/公式编辑器,1、功能区域,business_module,converted_in_step5,module-formula-editor-basic,已转成模块资产或模块辅助资产
M033,场景/场景/公式编辑器/2、公式编辑区域+说明引导.png,复杂场景/公式编辑器,2、公式编辑区域+说明引导,business_module,converted_in_step5,module-formula-editor-basic,已转成模块资产或模块辅助资产
M034,场景/场景/公式编辑器/3、智能小助手+模板.png,复杂场景/公式编辑器,3、智能小助手+模板,business_module,converted_in_step5,module-formula-editor-with-assistant,已转成模块资产或模块辅助资产
M035,场景/场景/公式编辑器/公式编辑器设计模式.png,复杂场景/公式编辑器,公式编辑器设计模式,business_module,converted_in_step5,module-formula-editor-basic|module-formula-editor-with-assistant,已转成模块资产或模块辅助资产
M036,场景/场景/图片裁剪.png,复杂场景,图片裁剪,business_module,converted_in_step5,module-image-crop-panel,已转成模块资产或模块辅助资产
M037,场景/场景/审批流与审批模式 (1).png,复杂场景,审批流与审批模式 (1),business_module,converted_in_step5,module-approval-flow-basic|module-approval-flow-mode-selector,已转成模块资产或模块辅助资产
M038,场景/场景/审批流与审批模式.png,复杂场景,审批流与审批模式,business_module,converted_in_step5,module-approval-flow-basic|module-approval-flow-mode-selector,已转成模块资产或模块辅助资产
M039,场景/场景/异步处理.png,复杂场景,异步处理,business_module,converted_in_step5,module-async-processing-status-panel,已转成模块资产或模块辅助资产
M040,场景/场景/拖拽排序.png,复杂场景,拖拽排序,business_module,converted_in_step5,module-drag-sort-list,已转成模块资产或模块辅助资产
M041,场景/场景/筛选项配置.png,复杂场景,筛选项配置,business_module,converted_in_step5,module-filter-config-panel,已转成模块资产或模块辅助资产
M042,场景/场景/表头设置.png,复杂场景,表头设置,business_module,converted_in_step5,module-table-header-settings-panel,已转成模块资产或模块辅助资产
M043,场景/审批流.png,复杂场景,审批流,business_module,converted_in_step5,module-approval-flow-basic|module-operation-log-basic,已转成模块资产或模块辅助资产
M044,场景/导航/web端-多页签.png,导航,web端-多页签,shell_navigation_rule,covered_or_deferred_region_rule,web-multi-tabs,区域/导航类已在第4步或后续工作流处理
M045,场景/导航/下拉菜单 Dropdown.png,导航,下拉菜单 Dropdown,navigation_region,covered_or_deferred_region_rule,dropdown-menu,区域/导航类已在第4步或后续工作流处理
M046,场景/导航/侧边导航.png,导航,侧边导航,shell_navigation_rule,covered_or_deferred_region_rule,side-navigation,区域/导航类已在第4步或后续工作流处理
M047,场景/导航/分页 Pagination.png,导航,分页 Pagination,navigation_region,covered_or_deferred_region_rule,pagination,区域/导航类已在第4步或后续工作流处理
M048,场景/导航/标签页 Tabs.png,导航,标签页 Tabs,navigation_region,covered_or_deferred_region_rule,tabs,区域/导航类已在第4步或后续工作流处理
M049,场景/导航/步骤条 Steps.png,导航,步骤条 Steps,navigation_region,covered_or_deferred_region_rule,steps,区域/导航类已在第4步或后续工作流处理
M050,场景/导航/胶囊选项卡 CapsuleTabs .png,导航,胶囊选项卡 CapsuleTabs ,navigation_region,covered_or_deferred_region_rule,capsule-tabs,区域/导航类已在第4步或后续工作流处理
M051,场景/导航/返回按钮 ReturnButton .png,导航,返回按钮 ReturnButton ,navigation_region,covered_or_deferred_region_rule,return-button,区域/导航类已在第4步或后续工作流处理
M052,场景/导航/锚点 Anchor.png,导航,锚点 Anchor,navigation_region,covered_or_deferred_region_rule,anchor,区域/导航类已在第4步或后续工作流处理
M053,场景/导航/顶部导航 AppNav.png,导航,顶部导航 AppNav,shell_navigation_rule,covered_or_deferred_region_rule,top-navigation,区域/导航类已在第4步或后续工作流处理
M054,场景/按钮规则/Body 内容区按钮位置.png,按钮规则,Body 内容区按钮位置,component_combo_rule,deferred_step6_or_step7_combo_rule,body-button-placement,组件组合/按钮规则/状态反馈后续处理
M055,场景/按钮规则/Button 按钮.png,按钮规则,Button 按钮,interaction_rule,deferred_step6_or_step7_combo_rule,button,组件组合/按钮规则/状态反馈后续处理
M056,场景/按钮规则/Footer 页面底部区按钮位置.png,按钮规则,Footer 页面底部区按钮位置,component_combo_rule,deferred_step6_or_step7_combo_rule,footer-button-placement,组件组合/按钮规则/状态反馈后续处理
M057,场景/按钮规则/Header页面头部区域按钮位置.png,按钮规则,Header页面头部区域按钮位置,component_combo_rule,deferred_step6_or_step7_combo_rule,header-button-placement,组件组合/按钮规则/状态反馈后续处理
M058,场景/按钮规则/Toolbar 操作工具区按钮位置.png,按钮规则,Toolbar 操作工具区按钮位置,component_combo_rule,deferred_step6_or_step7_combo_rule,toolbar-button-placement,组件组合/按钮规则/状态反馈后续处理
M059,场景/按钮规则/勾选和开关按钮的使用规则.png,按钮规则,勾选和开关按钮的使用规则,interaction_rule,deferred_step6_or_step7_combo_rule,checkbox-switch-rule,组件组合/按钮规则/状态反馈后续处理
M060,场景/按钮规则/按钮使用原则.png,按钮规则,按钮使用原则,interaction_rule,deferred_step6_or_step7_combo_rule,button-principles,组件组合/按钮规则/状态反馈后续处理
M061,场景/按钮规则/禁用态探索.png,按钮规则,禁用态探索,interaction_rule,deferred_step6_or_step7_combo_rule,disabled-state-exploration,组件组合/按钮规则/状态反馈后续处理
M062,场景/按钮规则/禁用按钮使用规则.png,按钮规则,禁用按钮使用规则,interaction_rule,deferred_step6_or_step7_combo_rule,disabled-button-rule,组件组合/按钮规则/状态反馈后续处理
M063,场景/按钮规则/链接按钮使用规则.png,按钮规则,链接按钮使用规则,interaction_rule,deferred_step6_or_step7_combo_rule,link-button-rule,组件组合/按钮规则/状态反馈后续处理
M064,场景/数据 录入/Input 输入框.png,数据录入,Input 输入框,component_combo,deferred_step6_or_step7_combo_rule,input,组件组合/按钮规则/状态反馈后续处理
M065,场景/数据 录入/InputNumber 数字输入框.png,数据录入,InputNumber 数字输入框,component_combo,deferred_step6_or_step7_combo_rule,input-number,组件组合/按钮规则/状态反馈后续处理
M066,场景/数据 录入/Radio 单选框.png,数据录入,Radio 单选框,component_combo,deferred_step6_or_step7_combo_rule,radio,组件组合/按钮规则/状态反馈后续处理
M067,场景/数据 录入/Select 选择器.png,数据录入,Select 选择器,component_combo,deferred_step6_or_step7_combo_rule,select,组件组合/按钮规则/状态反馈后续处理
M068,场景/数据 录入/Sidebar Contents 分栏目录.png,数据录入,Sidebar Contents 分栏目录,component_combo,deferred_step6_or_step7_combo_rule,sidebar-contents,组件组合/按钮规则/状态反馈后续处理
M069,场景/数据 录入/上传 Upload.png,数据录入,上传 Upload,component_combo,converted_in_step5,module-upload-file-basic,已转成模块资产或模块辅助资产
M070,场景/数据 录入/多选 Checkbox (1).png,数据录入,多选 Checkbox (1),component_combo,deferred_step6_or_step7_combo_rule,checkbox,组件组合/按钮规则/状态反馈后续处理
M071,场景/数据 录入/开关 Switch.png,数据录入,开关 Switch,component_combo,deferred_step6_or_step7_combo_rule,switch,组件组合/按钮规则/状态反馈后续处理
M072,场景/数据 录入/日期时间选择器 DatePicker.png,数据录入,日期时间选择器 DatePicker,component_combo,deferred_step6_or_step7_combo_rule,date-picker,组件组合/按钮规则/状态反馈后续处理
M073,场景/数据 录入/日期时间选择器 TimePicker.png,数据录入,日期时间选择器 TimePicker,component_combo,deferred_step6_or_step7_combo_rule,time-picker,组件组合/按钮规则/状态反馈后续处理
M074,场景/数据 录入/树选择 TreeSelect.png,数据录入,树选择 TreeSelect,component_combo,converted_in_step5,module-tree-basic,已转成模块资产或模块辅助资产
M075,场景/数据 录入/级联选择 Cascader (1).png,数据录入,级联选择 Cascader (1),component_combo,deferred_step6_or_step7_combo_rule,cascader,组件组合/按钮规则/状态反馈后续处理
M076,场景/数据 录入/表单 Form.png,数据录入,表单 Form,form_region,covered_or_deferred_region_rule,form,区域/导航类已在第4步或后续工作流处理
M077,场景/数据展示/Badge 徽标.png,数据展示,Badge 徽标,display_component_combo,deferred_step6_or_step7_combo_rule,badge,组件组合/按钮规则/状态反馈后续处理
M078,场景/数据展示/Empty 空状态.png,数据展示,Empty 空状态,state_asset,deferred_step6_or_step7_combo_rule,empty,组件组合/按钮规则/状态反馈后续处理
M079,场景/数据展示/FilePreview 文件预览.png,数据展示,FilePreview 文件预览,display_module,converted_in_step5,module-file-preview-basic,已转成模块资产或模块辅助资产
M080,场景/数据展示/Image 图片.png,数据展示,Image 图片,display_component_combo,deferred_step6_or_step7_combo_rule,image,组件组合/按钮规则/状态反馈后续处理
M081,场景/数据展示/Segmented 分段控制器.png,数据展示,Segmented 分段控制器,display_component_combo,deferred_step6_or_step7_combo_rule,segmented,组件组合/按钮规则/状态反馈后续处理
M082,场景/数据展示/Tag 标签.png,数据展示,Tag 标签,display_component_combo,deferred_step6_or_step7_combo_rule,tag,组件组合/按钮规则/状态反馈后续处理
M083,场景/数据展示/Tour 漫游式引导.png,数据展示,Tour 漫游式引导,display_component_combo,deferred_step6_or_step7_combo_rule,tour,组件组合/按钮规则/状态反馈后续处理
M084,场景/数据展示/Tree 树形控件.png,数据展示,Tree 树形控件,display_module,converted_in_step5,module-tree-basic,已转成模块资产或模块辅助资产
M085,场景/数据展示/折叠面板 Collapse.png,数据展示,折叠面板 Collapse,display_module,converted_in_step5,module-collapse-basic,已转成模块资产或模块辅助资产
M086,场景/数据展示/描述列表 Descriptions.png,数据展示,描述列表 Descriptions,display_module,converted_in_step5,module-descriptions-basic,已转成模块资产或模块辅助资产
M087,场景/数据展示/文字提示 Tooltip.png,数据展示,文字提示 Tooltip,display_component_combo,deferred_step6_or_step7_combo_rule,tooltip,组件组合/按钮规则/状态反馈后续处理
M088,场景/数据展示/气泡卡片  Popover.png,数据展示,气泡卡片  Popover,display_component_combo,deferred_step6_or_step7_combo_rule,popover,组件组合/按钮规则/状态反馈后续处理
M089,场景/数据展示/表格 Table.png,数据展示,表格 Table,display_module,converted_in_step5,module-related-table-basic,已转成模块资产或模块辅助资产
M090,场景/数据展示/表格-表头筛选.png,数据展示,表格-表头筛选,display_module,converted_in_step5,module-table-header-settings-panel|module-table-header-filter-dropdown,已转成模块资产或模块辅助资产
M091,场景/数据展示/走马灯 Carousel.png,数据展示,走马灯 Carousel,display_component_combo,deferred_step6_or_step7_combo_rule,carousel,组件组合/按钮规则/状态反馈后续处理
