asset_id,asset_type,page_type,asset_name,keywords,conditions,forbidden_when,variant,html_path,css_path,slots,priority,validation,source_materials,notes
region.pagination.basic,region,TablePage|CardListPage,分页区,"分页,上一页,下一页,总数",列表/表格/卡片列表需要分页,少量固定数据无需分页,basic,assets/regions/pagination/basic.html,assets/regions/_region-support.css,TOTAL_SLOT;PAGE_ACTION_SLOT,100,分页在列表下方;不得放到表格上方,M047;M006,导航区域
region.form-section.basic,region,CreatePage|EditPage,基础表单区域,"表单,基础信息,字段,录入",字段数量少，单组表单即可承载,多业务分组不用,basic-section,assets/regions/form-region/basic-section.html,assets/regions/_region-support.css,FIELD_SLOT,100,字段按双列栅格;长文本单独使用 textarea,M002;M003;M076;M064;M067,表单基础
region.form-section.multi-section,region,CreatePage|EditPage,多分组表单区域,"高级表单,分组表单,业务信息,多段表单",字段较多或存在业务分组,单组简单表单不用,multi-section,assets/regions/form-region/multi-section.html,assets/regions/_region-support.css,SECTION_SLOT;FIELD_SLOT,95,分组间用标题和分隔;不要连续堆卡片,M001;M002;M003;M011;M076,复杂表单
region.form-footer-actions.sticky,region,CreatePage|EditPage,表单底部操作区,"提交,取消,底部按钮,footer",表单页面需要稳定提交/取消操作,局部弹窗表单不用此区域,sticky,assets/regions/form-region/footer-actions.html,assets/regions/_region-support.css,ACTION_SLOT,100,主按钮在右;取消在左;底部固定不遮挡内容,M056;M060;M002;M003,按钮位置规则
region.step-indicator.basic,region,CreatePage|EditPage,步骤条区域,"分步表单,步骤,流程,提交",需要分步骤填写和校验,普通单页表单不用,basic,assets/regions/navigation-region/step-indicator.html,assets/regions/_region-support.css,STEP_SLOT,88,步骤条位于表单内容上方;当前步骤明确,M001;M049,分步表单
region.detail-summary.basic,region,DetailPage,详情摘要区,"摘要,状态,负责人,编号,关键字段",详情页需要先暴露核心状态和关键属性,纯文本说明页不用,basic,assets/regions/detail-region/summary-card.html,assets/regions/_region-support.css,SUMMARY_ITEM_SLOT,100,摘要项 3-4 个优先;状态必须可扫读,M012;M013;M014;M086,详情页核心
region.detail-info-section.basic,region,DetailPage,详情信息区,"基础信息,描述列表,详情字段",详情页展示对象属性,列表页不用,basic,assets/regions/detail-region/info-section.html,assets/regions/_region-support.css,FIELD_SLOT,100,字段按双列展示;只读字段不用表单控件,M012;M013;M086,详情页信息
region.detail-side-layout.basic,region,DetailPage,详情左右布局区,"左右布局,锚点,详情,侧栏",详情信息较长，需要右侧锚点或辅助信息,短详情不用左右布局,basic,assets/regions/detail-region/side-layout.html,assets/regions/_region-support.css,MAIN_SLOT;SIDE_SLOT,85,主内容在左;辅助导航/状态在右,M013;M014;M052;M086,详情复杂布局
region.settings-layout.anchor,region,SettingsPage,设置页锚点布局,"设置页,锚点,分组导航,配置",配置项较多，需要左侧分组导航,少量设置项不用,anchor,assets/regions/settings-region/anchor-layout.html,assets/regions/_region-support.css,ANCHOR_SLOT;SETTING_SECTION_SLOT,100,左侧只做导航;右侧承载配置项,M015;M052;M068,设置页骨架
region.setting-section.basic,region,SettingsPage,设置分组区域,"设置项,开关,配置,状态",设置页中的一组配置项,表单提交页不用,basic,assets/regions/settings-region/setting-section.html,assets/regions/_region-support.css,SETTING_ITEM_SLOT;STATUS_SLOT;ACTION_SLOT,100,设置项左文案右状态/操作;不要改成表格,M015;M054;M060;M071,设置项模式
region.metric-grid.basic,region,HomePage|ReportPage,指标卡片区,"首页,指标,概览,汇总,数据看板",首页/报表页需要展示关键指标,详情页不用,basic,assets/regions/home-region/metric-grid.html,assets/regions/_region-support.css,METRIC_SLOT,92,指标数量 3-4 个优先;不要堆过多视觉装饰,M016;M017;M008;M009,首页和报表
region.dashboard-grid.basic,region,HomePage,首页内容网格,"工作台,趋势,待办,快捷入口,首页",首页需要组合趋势、待办、快捷入口,列表页不用,basic,assets/regions/home-region/dashboard-grid.html,assets/regions/_region-support.css,CARD_SLOT,86,卡片区域有标题;图表和待办分区展示,M016;M017;M008,首页骨架
region.report-summary-bar.basic,region,ReportPage|TablePage,报表汇总区,"报表,汇总,统计,总览",报表页或汇总型表格页需要先看总量,普通列表不用,basic,assets/regions/report-region/summary-bar.html,assets/regions/_region-support.css,SUMMARY_SLOT,88,汇总区在筛选区之后或表格前;数量不宜过多,M008;M009,汇总信息
region.card-grid.basic,region,TablePage|HomePage,卡片网格区,"卡片表格,卡片列表,对象卡片",对象以卡片形态展示，字段密度低,高密度数据表格不用,basic,assets/regions/card-grid/basic.html,assets/regions/_region-support.css,CARD_SLOT,82,卡片必须有主标题/说明/状态/操作,M004;M091;M080;M082,卡片列表
region.tabs.basic,region,DetailPage|TablePage|SettingsPage,标签页区域,"tabs,标签页,状态切换,分组切换",同一页面内有并列内容分组,流程步骤不用 tabs,basic,assets/regions/navigation-region/tabs.html,assets/regions/_region-support.css,TAB_SLOT,84,只做内容分组切换;不要承担流程步骤,M048;M050;M081,导航区域
region.anchor.basic,region,DetailPage|SettingsPage,页内锚点区域,"锚点,分栏目录,页内导航",长页面需要快速定位分组,短页面不用,basic,assets/regions/navigation-region/anchor.html,assets/regions/_region-support.css,ANCHOR_ITEM_SLOT,82,锚点不承载业务操作;只做定位,M052;M068;M015,页内导航
region.result.success,region,ResultPage,成功结果区,"成功,结果页,提交成功,下一步",操作完成后需要反馈和下一步入口,局部 toast 不用,success,assets/regions/result-region/success.html,assets/regions/_region-support.css,TITLE_SLOT;DESCRIPTION_SLOT;ACTION_SLOT,75,必须有结果状态、说明、下一步操作,M027,结果页
region.result.exception,region,ErrorPage,异常结果区,"异常,403,404,500,错误页",整页异常或无权限页面,表单字段错误不用,exception,assets/regions/result-region/exception.html,assets/regions/_region-support.css,TITLE_SLOT;DESCRIPTION_SLOT;ACTION_SLOT,75,必须给恢复路径,M027,异常页
region.split-layout.master-detail,region,TablePage|DetailPage,主从分栏区域,"父子表格,主从结构,左树右表,分栏",左侧对象选择影响右侧列表/详情,普通详情不用,master-detail,assets/regions/split-layout/master-detail.html,assets/regions/_region-support.css,MASTER_SLOT;DETAIL_SLOT,80,左侧为选择/导航;右侧为数据承载区,M010;M013;M014;M084,父子/主从结构
